symbol,fold,filter_mode,trades,wins,losses,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,max_dd_pct,skipped_chop,error
ADA-USD,0,baseline,36,14,22,0.3888888888888889,1.5616598793492968,1216.9457815303285,0.12169457815303285,0.42871067965526377,0.05418668821138203,0,
ETH-USD,3,chop_off,17,6,11,0.35294117647058826,1.338989833037145,362.2214804691248,0.036222148046912477,0.20286278797332322,0.05132836120325664,1328,
ADA-USD,2,baseline,26,10,16,0.38461538461538464,1.2217296155450856,343.63861769788855,0.03436386176978885,0.1680106179315651,0.0911304662430944,0,
ADA-USD,3,baseline,26,13,13,0.5,2.098897196938401,1551.0576350606188,0.1551057635060619,0.5990995726040982,0.04811867508191654,0,
ETH-USD,1,baseline,35,13,22,0.37142857142857144,1.3363060976811583,761.6746543998106,0.07616746543998106,0.2921975291125987,0.06391303967847221,0,
ADA-USD,1,baseline,35,8,27,0.22857142857142856,0.6075843030097788,-1021.9609055145957,-0.10219609055145956,-0.45732265209726436,0.12409374687947275,0,
ADA-USD,2,chop_off,21,8,13,0.38095238095238093,1.524334049833696,691.7415704781015,0.06917415704781014,0.3131103966394749,0.06793465209300999,1148,
ETH-USD,3,baseline,28,12,16,0.42857142857142855,1.2736976483689575,446.9129198544415,0.04469129198544415,0.2126600168700833,0.06426933397455734,0,
ETH-USD,1,chop_off,29,11,18,0.3793103448275862,1.3629712071735955,693.7990777710984,0.06937990777710984,0.2814076242353431,0.05418668821138181,934,
ADA-USD,1,chop_off,35,9,26,0.2571428571428571,0.8521884392178524,-383.21629941930587,-0.038321629941930585,-0.1369939816869762,0.09718377894855959,1090,
ETH-USD,0,baseline,26,7,19,0.2692307692307692,0.8072885608975017,-349.5243762410428,-0.03495243762410428,-0.15771232847698424,0.09745280699933509,0,
ADA-USD,0,chop_off,26,13,13,0.5,2.2050466339599044,1680.1798425523411,0.16801798425523412,0.6212296808013726,0.0490099501,801,
ETH-USD,2,chop_off,16,7,9,0.4375,1.9247375847692787,858.8493781400266,0.08588493781400267,0.4155676641331131,0.039403990000000076,1155,
ETH-USD,0,chop_off,23,6,17,0.2608695652173913,0.8675630766905935,-224.4432670530441,-0.022444326705304413,-0.09616674921874467,0.09145550649096768,1067,
ETH-USD,2,baseline,22,8,14,0.36363636363636365,1.080013559531855,111.69518783433523,0.011169518783433523,0.06911224718985258,0.054186688211381596,0,
DOT-USD,1,baseline,25,10,15,0.4,1.429947098091801,591.2263128120339,0.059122631281203396,0.2988288374078661,0.03423307049053038,0,
DOT-USD,0,baseline,22,9,13,0.4090909090909091,1.1520686045205422,176.1574261012629,0.01761574261012629,0.11390472205043173,0.05189815677565514,0,
DOT-USD,3,baseline,27,12,15,0.4444444444444444,1.5751856190500149,721.3675614778913,0.07213675614778912,0.3658241086092491,0.040110132859706896,0,
ADA-USD,3,chop_off,18,9,9,0.5,2.4030649910399817,1408.5786279083695,0.14085786279083695,0.593652566817422,0.03940399000000009,833,
DOT-USD,0,chop_off,19,8,11,0.42105263157894735,1.12370988195027,134.9004902920151,0.01349004902920151,0.09097403798999754,0.04900995009999998,915,
DOT-USD,1,chop_off,21,9,12,0.42857142857142855,1.378346123277738,461.27467333466484,0.04612746733346648,0.251652334903936,0.03940398999999998,909,
DOT-USD,3,chop_off,23,9,14,0.391304347826087,1.2808405150018227,382.3166486195514,0.038231664861955145,0.20081445507955928,0.07725530557208003,1067,
ATOM-USD,0,baseline,35,12,23,0.34285714285714286,0.9320998654300261,-153.35573562745412,-0.015335573562745413,-0.053971169364782794,0.08111952375339819,0,
ATOM-USD,1,baseline,43,17,26,0.3953488372093023,1.2012929385425322,535.2338338416284,0.05352338338416284,0.21448274779344656,0.0784762163235402,0,
DOT-USD,2,chop_off,13,4,9,0.3076923076923077,0.8212535576103266,-147.05464280096567,-0.014705464280096567,-0.1064847778989185,0.04273719730698449,1039,
DOT-USD,2,baseline,16,4,12,0.25,0.6001301270891466,-421.60576351327654,-0.04216057635132765,-0.31622315755168234,0.061067229726116785,0,
ATOM-USD,1,chop_off,37,20,17,0.5405405405405406,2.282565021569835,2525.692431665242,0.25256924316652424,0.8300808807582362,0.029701000000000047,861,
ATOM-USD,0,chop_off,29,12,17,0.41379310344827586,1.34983407566793,597.8522105885277,0.05978522105885277,0.2751892518679827,0.05851985059900003,828,
ATOM-USD,2,chop_off,19,6,13,0.3157894736842105,0.9104925110075105,-117.68801784461903,-0.011768801784461902,-0.058356238705265594,0.04985988187461605,1100,
ATOM-USD,2,baseline,22,8,14,0.36363636363636365,0.9326008665064359,-90.88928174170724,-0.009088928174170724,-0.04162259780935539,0.04546917638283302,0,
ATOM-USD,3,baseline,37,17,20,0.4594594594594595,1.6615622832971808,1337.821856394672,0.1337821856394672,0.5135999336413044,0.04900995009999997,0,
ATOM-USD,3,chop_off,28,17,11,0.6071428571428571,2.7827101083866466,2293.4416730256507,0.22934416730256507,0.8692079905559025,0.029700999999999943,940,
