symbol,atr_mult,rr_ratio,pause_after_loss,trades,wins,losses,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,max_dd_pct,error
ETH-USD,2.5,1.5,2,2,0,2,0.0,0.0,-214.98610590522367,-0.021498610590522365,-0.5022452995679242,0.021498610590522365,
ETH-USD,2.5,2.0,2,2,0,2,0.0,0.0,-214.98610590522367,-0.021498610590522365,-0.5022452995679242,0.021498610590522365,
ETH-USD,2.5,3.0,2,2,0,2,0.0,0.0,-214.98610590522367,-0.021498610590522365,-0.5022452995679242,0.021498610590522365,
ETH-USD,2.5,2.5,2,2,0,2,0.0,0.0,-214.98610590522367,-0.021498610590522365,-0.5022452995679242,0.021498610590522365,
ETH-USD,2.5,1.5,3,3,0,3,0.0,0.0,-320.88432958821795,-0.03208843295882179,-0.6152770996619541,0.03208843295882179,
ETH-USD,3.0,1.5,2,2,0,2,0.0,0.0,-212.72666764387395,-0.021272666764387396,-0.5022471742629785,0.021272666764387396,
ETH-USD,2.5,2.0,3,3,0,3,0.0,0.0,-320.88432958821795,-0.03208843295882179,-0.6152770996619541,0.03208843295882179,
ETH-USD,2.5,2.5,3,3,0,3,0.0,0.0,-320.88432958821795,-0.03208843295882179,-0.6152770996619541,0.03208843295882179,
ETH-USD,3.0,1.5,3,3,0,3,0.0,0.0,-317.3837515336709,-0.03173837515336709,-0.6152787579435219,0.03173837515336709,
ETH-USD,2.5,3.0,3,3,0,3,0.0,0.0,-320.88432958821795,-0.03208843295882179,-0.6152770996619541,0.03208843295882179,
ETH-USD,2.5,1.5,0,10,0,10,0.0,0.0,-1038.818281580894,-0.10388182815808941,-1.125132923537565,0.10388182815808941,
ETH-USD,2.5,2.5,0,10,0,10,0.0,0.0,-1038.818281580894,-0.10388182815808941,-1.125132923537565,0.10388182815808941,
ETH-USD,2.5,3.0,0,10,0,10,0.0,0.0,-1038.818281580894,-0.10388182815808941,-1.125132923537565,0.10388182815808941,
ETH-USD,2.5,2.0,0,10,0,10,0.0,0.0,-1038.818281580894,-0.10388182815808941,-1.125132923537565,0.10388182815808941,
ETH-USD,3.0,1.5,0,13,1,12,0.07692307692307693,0.10593303142282148,-1093.4400297513203,-0.10934400297513203,-1.0260969692015671,0.10934400297513203,
ETH-USD,3.0,2.0,2,2,0,2,0.0,0.0,-212.72666764387395,-0.021272666764387396,-0.5022471742629785,0.021272666764387396,
ETH-USD,3.0,2.0,3,3,0,3,0.0,0.0,-317.3837515336709,-0.03173837515336709,-0.6152787579435219,0.03173837515336709,
ETH-USD,3.0,3.0,3,3,0,3,0.0,0.0,-317.3837515336709,-0.03173837515336709,-0.6152787579435219,0.03173837515336709,
ETH-USD,3.0,2.5,2,2,0,2,0.0,0.0,-212.72666764387395,-0.021272666764387396,-0.5022471742629785,0.021272666764387396,
ETH-USD,3.0,2.5,3,3,0,3,0.0,0.0,-317.3837515336709,-0.03173837515336709,-0.6152787579435219,0.03173837515336709,
ETH-USD,3.0,3.0,2,2,0,2,0.0,0.0,-212.72666764387395,-0.021272666764387396,-0.5022471742629785,0.021272666764387396,
ETH-USD,3.0,2.0,0,13,1,12,0.07692307692307693,0.14319219670731917,-1049.8877692163642,-0.10498877692163641,-0.9335457952353348,0.10498877692163641,
ETH-USD,3.5,1.5,2,3,1,2,0.3333333333333333,0.1453584330800354,-180.65819891000865,-0.018065819891000864,-0.42058507133295236,0.021073723283131923,
ETH-USD,3.5,2.0,2,3,1,2,0.3333333333333333,0.1453584330800354,-180.65819891000865,-0.018065819891000864,-0.42058507133295236,0.021073723283131923,
ETH-USD,3.0,3.0,0,11,1,10,0.09090909090909091,0.004938297397141548,-1021.1862926708036,-0.10211862926708036,-1.11922856745987,0.10211862926708036,
ETH-USD,3.5,1.5,3,4,1,3,0.25,0.09763073971026018,-283.9955989671562,-0.02839955989671562,-0.5479066393799843,0.03137580852802234,
ETH-USD,3.0,2.5,0,19,4,15,0.21052631578947367,0.48471424331262014,-793.5124256019826,-0.07935124256019827,-0.48007960901238594,0.09074703098600657,
ETH-USD,3.5,2.0,3,4,1,3,0.25,0.09763073971026018,-283.9955989671562,-0.02839955989671562,-0.5479066393799843,0.03137580852802234,
ETH-USD,3.5,1.5,0,17,4,13,0.23529411764705882,0.30277680376429456,-846.1028165236585,-0.08461028165236585,-0.7381476685024485,0.08741434316149277,
ETH-USD,3.5,2.0,0,16,4,12,0.25,0.4149597988246298,-655.8891182906282,-0.06558891182906282,-0.53142202171316,0.0684512404236762,
ETH-USD,3.5,2.5,2,3,1,2,0.3333333333333333,0.1453584330800354,-180.65819891000865,-0.018065819891000864,-0.42058507133295236,0.021073723283131923,
ETH-USD,3.5,3.0,2,3,1,2,0.3333333333333333,0.1453584330800354,-180.65819891000865,-0.018065819891000864,-0.42058507133295236,0.021073723283131923,
ETH-USD,3.5,2.5,3,4,1,3,0.25,0.09763073971026018,-283.9955989671562,-0.02839955989671562,-0.5479066393799843,0.03137580852802234,
ETH-USD,3.5,3.0,3,4,1,3,0.25,0.09763073971026018,-283.9955989671562,-0.02839955989671562,-0.5479066393799843,0.03137580852802234,
ETH-USD,4.0,1.5,2,3,1,2,0.3333333333333333,0.12811400721573626,-182.97216861466404,-0.018297216861466403,-0.4310294756811938,0.020929520030657057,
ETH-USD,4.0,2.0,2,3,1,2,0.3333333333333333,0.12811400721573626,-182.97216861466404,-0.018297216861466403,-0.4310294756811938,0.020929520030657057,
ETH-USD,4.0,1.5,3,4,1,3,0.25,0.08602324392883488,-285.6546418276612,-0.028565464182766117,-0.5566351019745688,0.031170234436261577,
ETH-USD,3.5,2.5,0,16,4,12,0.25,0.2961529475829547,-783.141464605731,-0.07831414646057311,-0.667512769713226,0.08113749456424407,
ETH-USD,4.0,2.5,2,3,1,2,0.3333333333333333,0.12811400721573626,-182.97216861466404,-0.018297216861466403,-0.4310294756811938,0.020929520030657057,
ETH-USD,3.5,3.0,0,16,4,12,0.25,0.30373994572062407,-774.8893916417892,-0.07748893916417891,-0.6225977934584643,0.08031481507865057,
ETH-USD,4.0,2.0,3,4,1,3,0.25,0.08602324392883488,-285.6546418276612,-0.028565464182766117,-0.5566351019745688,0.031170234436261577,
ETH-USD,4.0,1.5,0,16,4,12,0.25,0.3272464558086535,-741.0173020246293,-0.07410173020246293,-0.6712651548843661,0.07658440112058364,
ETH-USD,4.0,2.0,0,15,4,11,0.26666666666666666,0.45541738701415385,-549.1013139889692,-0.054910131398896916,-0.4587540487222328,0.05744426199220665,
ETH-USD,4.0,2.5,3,4,1,3,0.25,0.08602324392883488,-285.6546418276612,-0.028565464182766117,-0.5566351019745688,0.031170234436261577,
ETH-USD,4.0,2.5,0,15,4,11,0.26666666666666666,0.2875264690564009,-711.5813858682923,-0.07115813858682923,-0.6366549798191745,0.07364870234754112,
ETH-USD,4.0,3.0,2,3,1,2,0.3333333333333333,0.12811400721573626,-182.97216861466404,-0.018297216861466403,-0.4310294756811938,0.020929520030657057,
ETH-USD,4.0,3.0,3,4,1,3,0.25,0.08602324392883488,-285.6546418276612,-0.028565464182766117,-0.5566351019745688,0.031170234436261577,
ETH-USD,5.0,1.5,2,3,1,2,0.3333333333333333,0.10354507468343588,-186.21340836459785,-0.018621340836459787,-0.445630172911245,0.020727617635392475,
ETH-USD,4.0,3.0,0,15,3,12,0.2,0.30027812239368645,-708.9850929110689,-0.07089850929110689,-0.5885388002243112,0.07338976921264229,
ETH-USD,5.0,2.0,2,3,1,2,0.3333333333333333,0.10354507468343588,-186.21340836459785,-0.018621340836459787,-0.445630172911245,0.020727617635392475,
ETH-USD,5.0,1.5,3,4,1,3,0.25,0.0694973179535673,-287.97946595810936,-0.028797946595810937,-0.5687682562321047,0.03088238192875834,
ETH-USD,5.0,2.5,2,3,1,2,0.3333333333333333,0.10354507468343588,-186.21340836459785,-0.018621340836459787,-0.445630172911245,0.020727617635392475,
ETH-USD,5.0,2.0,3,4,1,3,0.25,0.0694973179535673,-287.97946595810936,-0.028797946595810937,-0.5687682562321047,0.03088238192875834,
ETH-USD,5.0,1.5,0,14,4,10,0.2857142857142857,0.4483718928348325,-428.6566827999377,-0.04286566827999377,-0.444859063383397,0.04961703406387877,
ETH-USD,5.0,2.5,3,4,1,3,0.25,0.0694973179535673,-287.97946595810936,-0.028797946595810937,-0.5687682562321047,0.03088238192875834,
ETH-USD,5.0,2.0,0,14,4,10,0.2857142857142857,0.2986730944100546,-542.049853244318,-0.0542049853244318,-0.5834360227975096,0.06287276800731294,
ETH-USD,5.0,3.0,2,3,1,2,0.3333333333333333,0.10354507468343588,-186.21340836459785,-0.018621340836459787,-0.445630172911245,0.020727617635392475,
ETH-USD,5.0,2.5,0,13,3,10,0.23076923076923078,0.20546554320538965,-613.2539305965256,-0.06132539305965256,-0.7250542176596005,0.06334001659755471,
ETH-USD,5.0,3.0,3,4,1,3,0.25,0.0694973179535673,-287.97946595810936,-0.028797946595810937,-0.5687682562321047,0.03088238192875834,
ADA-USD,2.5,1.5,2,4,2,2,0.5,1.273348750757084,60.70007809433082,0.006070007809433082,0.09002720346031366,0.021595457761978413,
ETH-USD,6.0,1.5,2,3,1,2,0.3333333333333333,0.08705772794667081,-187.9605379614204,-0.01879605379614204,-0.4552148514458792,0.020551599952930304,
ETH-USD,5.0,3.0,0,13,3,10,0.23076923076923078,0.20546554320538965,-613.2539305965256,-0.06132539305965256,-0.7250542176596005,0.06334001659755471,
ADA-USD,2.5,1.5,0,33,10,23,0.30303030303030304,0.561057562932496,-1056.0462765461161,-0.10560462765461161,-0.5687951491523509,0.13019920277242789,
ETH-USD,6.0,1.5,0,13,4,9,0.3076923076923077,0.27718566966783065,-465.8077984737429,-0.046580779847374285,-0.5877788672828869,0.05075075858279678,
ETH-USD,6.0,1.5,3,4,1,3,0.25,0.05796478585509737,-291.2953774911075,-0.02912953774911075,-0.5769920609275597,0.03086659548857247,
ETH-USD,6.0,2.0,2,3,1,2,0.3333333333333333,0.08705772794667081,-187.9605379614204,-0.01879605379614204,-0.4552148514458792,0.020551599952930304,
ADA-USD,2.5,1.5,3,5,2,3,0.4,0.8565249225238244,-47.36483040634812,-0.004736483040634812,-0.05689112965819524,0.032104785792123586,
ADA-USD,2.5,2.0,2,3,1,2,0.3333333333333333,0.8694623816765747,-28.753995109464086,-0.0028753995109464087,-0.03728850859409609,0.021613423553551343,
ETH-USD,6.0,2.5,2,3,1,2,0.3333333333333333,0.08705772794667081,-187.9605379614204,-0.01879605379614204,-0.4552148514458792,0.020551599952930304,
ETH-USD,6.0,2.0,3,4,1,3,0.25,0.05796478585509737,-291.2953774911075,-0.02912953774911075,-0.5769920609275597,0.03086659548857247,
ETH-USD,6.0,2.5,3,4,1,3,0.25,0.05796478585509737,-291.2953774911075,-0.02912953774911075,-0.5769920609275597,0.03086659548857247,
ADA-USD,2.5,2.0,3,4,1,3,0.25,0.5795718953859706,-138.93054159331405,-0.013893054159331404,-0.1796752377144791,0.03242403378883761,
ADA-USD,2.5,2.0,0,24,5,19,0.20833333333333334,0.4623609348442228,-1065.4540457002186,-0.10654540457002186,-0.6188512595287501,0.12333525579015188,
ADA-USD,2.5,2.5,2,3,1,2,0.3333333333333333,1.0911367859094303,20.168659650717018,0.002016865965071702,0.030022121197357365,0.021608322208867242,
ADA-USD,2.5,2.5,3,4,1,3,0.25,0.7272785521248885,-90.54845409460177,-0.009054845409460176,-0.09983814774913097,0.0324189888110849,
ETH-USD,6.0,2.0,0,13,3,10,0.23076923076923078,0.31519635791250106,-448.11719182027446,-0.04481171918202745,-0.51360526963589,0.05075075858279678,
ADA-USD,2.5,3.0,2,3,1,2,0.3333333333333333,1.3112367395175064,69.17171737769604,0.006917171737769604,0.08005471321514245,0.02159545776197835,
ADA-USD,2.5,3.0,3,4,1,3,0.25,0.882010483033708,-38.98418746686548,-0.003898418746686548,-0.03393945608142471,0.0321047857921235,
ETH-USD,6.0,3.0,2,3,1,2,0.3333333333333333,0.08705772794667081,-187.9605379614204,-0.01879605379614204,-0.4552148514458792,0.020551599952930304,
ETH-USD,6.0,2.5,0,12,3,9,0.25,0.20749443258434166,-510.2270144287686,-0.05102270144287686,-0.677921792743536,0.05272058846810407,
ADA-USD,3.0,1.5,2,4,2,2,0.5,1.3049927794225658,66.83169690473369,0.006683169690473369,0.09846380895656943,0.0213033654520708,
ETH-USD,6.0,3.0,3,4,1,3,0.25,0.05796478585509737,-291.2953774911075,-0.02912953774911075,-0.5769920609275597,0.03086659548857247,
ADA-USD,3.0,1.5,0,26,7,19,0.2692307692307692,0.4877242844220606,-1002.8064371814235,-0.10028064371814234,-0.6167228579419228,0.12529350589875432,
ADA-USD,2.5,3.0,0,25,4,21,0.16,0.5077838173584686,-1084.8424299973485,-0.10848424299973485,-0.5202129648461357,0.1337290786088706,
ADA-USD,3.0,1.5,3,5,2,3,0.4,0.8774233870708606,-39.94840553125687,-0.003994840553125687,-0.0472205164557703,0.0316845191295401,
ADA-USD,3.0,2.0,2,3,1,2,0.3333333333333333,0.8874660519031892,-24.460388487123055,-0.0024460388487123055,-0.031099760034573203,0.021324656491634217,
ADA-USD,2.5,2.5,0,32,7,25,0.21875,0.6108755267488972,-1019.7941340152956,-0.10197941340152956,-0.44251514469831166,0.12315261523384227,
ADA-USD,3.0,2.5,2,3,1,2,0.3333333333333333,1.1129317877129563,24.642525839244627,0.0024642525839244627,0.035557083282825114,0.021303365452070757,
ADA-USD,3.0,2.0,3,4,1,3,0.25,0.5919784675201581,-132.95623738332688,-0.013295623738332688,-0.17229485633997815,0.03196891397773331,
ADA-USD,3.0,2.5,3,4,1,3,0.25,0.748289487997028,-81.69007095209963,-0.008169007095209964,-0.0900161191798552,0.03168451912953999,
ADA-USD,3.0,3.0,2,3,1,2,0.3333333333333333,1.3353308510370063,73.52842273491297,0.0073528422734912965,0.08465803206007272,0.021303365452070896,
ETH-USD,6.0,3.0,0,12,3,9,0.25,0.20749443258434166,-510.2270144287686,-0.05102270144287686,-0.677921792743536,0.05272058846810407,
ADA-USD,3.0,3.0,3,4,1,3,0.25,0.897821456679276,-33.322712682622296,-0.0033322712682622296,-0.028139376582619065,0.03168451912954027,
ADA-USD,3.0,2.5,0,26,5,21,0.19230769230769232,0.5337689892795128,-1018.0166525639524,-0.10180166525639524,-0.508625183676012,0.12309722256502431,
ADA-USD,3.0,2.0,0,24,5,19,0.20833333333333334,0.4719473869026982,-1037.55114535764,-0.10375511453576401,-0.6028143537653559,0.12071646717033853,
ADA-USD,3.5,1.5,2,3,1,2,0.3333333333333333,0.6718942610256904,-70.28791760513013,-0.007028791760513013,-0.11669812995626712,0.021118368946099562,
ADA-USD,3.5,1.5,3,4,1,3,0.25,0.4484081203644343,-177.0566230707609,-0.01770566230707609,-0.26671390858219124,0.03164374205706928,
ADA-USD,3.5,2.0,2,3,1,2,0.3333333333333333,0.9018955916721532,-21.090044026646865,-0.0021090044026646866,-0.026250758035144,0.02108867113276724,
ADA-USD,3.5,2.0,3,4,1,3,0.25,0.6016182956842232,-128.38774703319905,-0.012838774703319905,-0.16665770008046918,0.031614363567908615,
ADA-USD,3.5,2.5,2,3,1,2,0.3333333333333333,1.1306549926500455,28.176870611270715,0.0028176870611270714,0.039938836874099236,0.021052523172106638,
ADA-USD,3.5,2.5,3,4,1,3,0.25,0.7537743028990826,-79.65057229655213,-0.007965057229655213,-0.08749347126134259,0.031578604286288524,
ADA-USD,3.5,1.5,0,27,7,20,0.25925925925925924,0.46715649152684025,-1081.1980825532955,-0.10811980825532955,-0.6587759095702043,0.12077497357896652,
ADA-USD,3.0,3.0,0,36,8,28,0.2222222222222222,0.6485430236173486,-1009.6408938263321,-0.10096408938263321,-0.3904702704148506,0.12653900089948256,
ADA-USD,4.0,1.5,2,3,1,2,0.3333333333333333,0.8147266866519481,-32.899836020536895,-0.0032899836020536897,-0.05735841153085015,0.01750421892764989,
ADA-USD,3.5,3.0,2,3,1,2,0.3333333333333333,0.41913636573635976,-124.32426925798245,-0.012432426925798245,-0.24997703023761894,0.021213048129081993,
ADA-USD,3.5,3.0,3,7,2,5,0.2857142857142857,0.6967273485645095,-163.28144684720064,-0.016328144684720065,-0.14459070746199296,0.03192225625363719,
