position_id,symbol,direction,regime,score,indicators_conf,indicators_dir,harmonic_conf,harmonic_dir,sr_conf,sr_dir,entry_price,entry_time,exit_price,exit_time,exit_reason,pnl,pnl_pct
834755eb,ETH-USD,BUY,CHOP,0.6642617567051567,0.62,BUY,,,0.99,BUY,1998.769775390625,2026-02-17T19:00:00+00:00,2000.7685451660154,2026-02-18T10:00:00+00:00,stop_loss,52.96132965082609,0.008942153676819801
73983d87,ETH-USD,SELL,CHOP,0.6522298511961168,0.62,SELL,0.27,BUY,0.97,SELL,1930.7469482421875,2026-02-27T23:00:00+00:00,1846.27009184872,2026-02-28T06:00:00+00:00,take_profit,170.90034260406395,0.024793626459721923
d11aedd6,ETH-USD,SELL,CHOP,0.6623542450751057,0.62,SELL,,,0.99,SELL,1993.5186767578125,2026-03-29T17:00:00+00:00,1951.237332954254,2026-03-29T22:00:00+00:00,take_profit,92.15785713317828,0.012018662495962442
0b9c5e3d,ETH-USD,BUY,CHOP,0.6532118115284363,0.62,BUY,,,0.97,BUY,2088.462890625,2026-03-31T16:00:00+00:00,2117.724898216,2026-04-02T01:00:00+00:00,stop_loss,130.49104666359386,0.02149118708683142
974a6423,ETH-USD,SELL,CHOP,0.6526384881818491,0.62,SELL,,,0.97,SELL,2037.7689208984375,2026-04-05T14:00:00+00:00,2049.267287057743,2026-04-05T15:00:00+00:00,stop_loss,-44.20930746561565,-0.005642625148211598
ef549aea,ETH-USD,SELL,CHOP,0.7597698867758933,0.62,SELL,0.45,SELL,0.86,SELL,2321.8701171875,2026-05-07T02:00:00+00:00,2345.648090739211,2026-05-07T07:00:00+00:00,stop_loss,-79.8964730877091,-0.01024087151804749
40ac498a,ETH-USD,SELL,CHOP,0.7180530126999988,0.31,SELL,0.44,SELL,0.93,SELL,2333.919921875,2026-05-07T08:00:00+00:00,2268.925928163269,2026-05-08T03:00:00+00:00,take_profit,122.16789448695928,0.015780288528662423
d52a37bc,ETH-USD,BUY,CHOP,0.6521893609213503,0.62,BUY,,,0.97,BUY,2312.27001953125,2026-05-09T10:00:00+00:00,2355.6374451975603,2026-05-10T17:00:00+00:00,take_profit,83.2539219111109,0.01062802974421836
e41099a9,ETH-USD,SELL,CHOP,0.6538468851748495,0.62,SELL,,,0.97,SELL,2303.0400390625,2026-05-12T06:00:00+00:00,2281.9402064784863,2026-05-12T18:00:00+00:00,stop_loss,85.9038754110005,0.010879596023985857
