symbol,regime_1d_mode,filter_chop,long_only,trades,wins,losses,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,max_dd_pct,blocked_1d,error
BTC-USD,none,False,False,178,58,120,0.3258426966292135,1.1187799483266108,1665.6313270046558,0.16656313270046558,0.1329974155678726,0.11336408975539049,0,
BTC-USD,drawdown_10,False,False,175,58,117,0.3314285714285714,1.1511835033165343,2067.234499786726,0.2067234499786726,0.1581753529052125,0.11336408975539049,0,
BTC-USD,drawdown_10,True,False,159,55,104,0.34591194968553457,1.2177721508323476,2714.166091420686,0.2714166091420686,0.20244733022072744,0.12842375046178958,0,
BTC-USD,none,True,False,162,55,107,0.3395061728395062,1.178546615567853,2291.0327345871046,0.22910327345871045,0.1761440942900956,0.12842375046178958,0,
BTC-USD,baseline,False,False,162,55,107,0.3395061728395062,1.2191712412002227,2784.4296762338854,0.27844296762338855,0.2042999924389072,0.09717441796167058,0,
BTC-USD,baseline,True,False,146,52,94,0.3561643835616438,1.3036158643103066,3474.230157963644,0.3474230157963644,0.2519221766104497,0.11250906297825161,0,
BTC-USD,sma200_only,True,False,131,46,85,0.3511450381679389,1.286607122516202,2934.1735849665947,0.29341735849665945,0.23066902777542786,0.13239129359849228,0,
BTC-USD,drawdown_10,True,True,90,32,58,0.35555555555555557,1.2539497319953954,1783.5205474927461,0.17835205474927462,0.1781451631271563,0.07579342166607972,0,
BTC-USD,none,True,True,90,32,58,0.35555555555555557,1.2539497319953954,1783.5205474927461,0.17835205474927462,0.1781451631271563,0.07579342166607972,0,
BTC-USD,none,False,True,99,33,66,0.3333333333333333,1.138860161326993,1080.1389181953564,0.10801389181953563,0.1146821371316873,0.09575490849036282,0,
BTC-USD,drawdown_10,False,True,99,33,66,0.3333333333333333,1.138860161326993,1080.1389181953564,0.10801389181953563,0.1146821371316873,0.09575490849036282,0,
BTC-USD,baseline,True,True,74,29,45,0.3918918918918919,1.5036992453904687,2768.713750588364,0.2768713750588364,0.2718638476619949,0.062059661026423366,0,
BTC-USD,sma200_only,True,True,64,24,40,0.375,1.4263162101029556,2041.9988756234707,0.20419988756234705,0.2250898231517008,0.062059661026423366,0,
BTC-USD,baseline,False,True,83,30,53,0.3614457831325301,1.315943549937878,2002.5857770229413,0.20025857770229413,0.20143294520067304,0.07196928368982816,0,
BTC-USD,sma200_only,False,True,71,25,46,0.352112676056338,1.2896056838617875,1573.6843736648643,0.15736843736648642,0.17538674639266363,0.07196928368982816,0,
BTC-USD,sma200_only,False,False,143,48,95,0.3356643356643357,1.2077302194892992,2309.3150498625346,0.23093150498625345,0.18495640900890722,0.11740018668013946,0,
ETH-USD,none,False,True,28,8,20,0.2857142857142857,0.8828099417298567,-238.87537093600622,-0.02388753709360062,-0.03236264723438485,0.0939694766950311,0,
ETH-USD,baseline,False,True,26,8,18,0.3076923076923077,0.9895386933567927,-19.14285248300439,-0.001914285248300439,0.0016677920803499665,0.09396947669503089,0,
ETH-USD,none,True,True,28,8,20,0.2857142857142857,0.88275589531227,-238.9833389246578,-0.02389833389246578,-0.03238147359179171,0.09396947669503108,0,
ETH-USD,drawdown_10,False,True,28,8,20,0.2857142857142857,0.8828099417298567,-238.87537093600622,-0.02388753709360062,-0.03236264723438485,0.0939694766950311,0,
ETH-USD,baseline,True,True,26,8,18,0.3076923076923077,0.9894782675778688,-19.253250937304983,-0.0019253250937304983,0.001650116850313625,0.09396947669503142,0,
ETH-USD,drawdown_10,True,True,28,8,20,0.2857142857142857,0.88275589531227,-238.9833389246578,-0.02389833389246578,-0.03238147359179171,0.09396947669503108,0,
ETH-USD,sma200_only,True,False,45,13,32,0.28888888888888886,0.9335794887026555,-220.59198293134978,-0.022059198293134977,-0.0204660273704401,0.1308450458114217,0,
ETH-USD,none,True,False,84,32,52,0.38095238095238093,1.327397024821457,1835.117072014531,0.1835117072014531,0.14562917748753776,0.13337442120406806,0,
ETH-USD,sma200_only,True,True,25,7,18,0.28,0.8591537988169174,-254.29473618139673,-0.025429473618139672,-0.03802278405200377,0.09396947669503122,0,
ETH-USD,sma200_only,False,True,25,7,18,0.28,0.8592147662287053,-254.18693755428285,-0.025418693755428285,-0.03800217650065447,0.09396947669503138,0,
ETH-USD,none,False,False,85,32,53,0.3764705882352941,1.2986386559845169,1702.3800089967062,0.17023800089967062,0.13615118395665762,0.14310356115242465,0,
ETH-USD,baseline,True,False,68,27,41,0.39705882352941174,1.4339472169457848,1910.8918595168616,0.19108918595168617,0.16452388355314282,0.10659750329289727,0,
ETH-USD,drawdown_10,True,False,81,31,50,0.38271604938271603,1.3359995227872876,1810.9728002993397,0.18109728002993397,0.1462566344447896,0.13337442120406806,0,
ETH-USD,baseline,False,False,69,27,42,0.391304347826087,1.3941016218060758,1777.3049424010424,0.17773049424010423,0.15396802012183938,0.11662725331799043,0,
ETH-USD,drawdown_10,False,False,82,31,51,0.3780487804878049,1.3058772099179312,1678.5065279882529,0.16785065279882527,0.13659865876000826,0.14310356115242465,0,
ADA-USD,none,False,False,190,75,115,0.39473684210526316,1.3362875366515972,5322.082522687655,0.5322082522687654,0.24365479682994723,0.12830822984066662,0,
ETH-USD,sma200_only,False,False,45,13,32,0.28888888888888886,0.9336126914297717,-220.48381151330977,-0.022048381151330978,-0.020451972111833458,0.13084504581142178,0,
ADA-USD,baseline,False,False,157,63,94,0.4012738853503185,1.4111705382593094,5174.241627487507,0.5174241627487507,0.2566039622708634,0.13428400179767216,0,
ADA-USD,drawdown_10,False,False,149,61,88,0.40939597315436244,1.4255986106064655,5076.27618165971,0.507627618165971,0.25900781020147146,0.10529046937069977,0,
ADA-USD,none,True,False,260,100,160,0.38461538461538464,1.233149143637311,5017.242692669723,0.5017242692669722,0.20740911795556613,0.15651109884526987,0,
ADA-USD,baseline,True,False,209,83,126,0.39712918660287083,1.2960716463154685,5000.630377064583,0.5000630377064583,0.22629597575156757,0.1340975159231619,0,
ADA-USD,drawdown_10,True,False,158,65,93,0.41139240506329117,1.4246203870153875,5198.935633483048,0.5198935633483048,0.2600069478434563,0.09262686766169796,0,
