position_id,symbol,direction,regime,score,entry_price,exit_price,exit_reason,pnl,indicators_dir,indicators_conf,harmonic_dir,harmonic_conf,harmonic_pattern,sr_dir,sr_conf,sr_strength,sr_distance,sr_touches
8e84a961,DOT-USD,SELL,BEAR,0.6713978087857136,3.8989481925964355,3.895049244403839,stop_loss,55.15849802743285,SELL,0.82,,,,SELL,0.94,0.99,,12
245676e5,DOT-USD,SELL,BEAR,0.680053932714564,3.9044137001037598,3.960647668061589,stop_loss,-103.63847593616246,SELL,0.82,,,,SELL,0.96,0.99,,12
880498c4,DOT-USD,SELL,BEAR,0.6832858777972441,3.8998382091522217,3.9573973095078845,stop_loss,-102.60209117680104,SELL,0.85,,,,SELL,0.94,0.99,,12
f93b99a2,DOT-USD,BUY,CHOP,0.6726947014480739,3.9148669242858887,3.8597152782305404,stop_loss,-101.57607026503254,BUY,0.66,,,,BUY,0.99,1.0,,13
f495381f,DOT-USD,BUY,CHOP,0.6650759837451545,3.938638925552368,4.148972675107387,take_profit,170.95252625605062,BUY,0.82,,,,BUY,0.9,1.0,,14
2ad13d35,DOT-USD,SELL,BULL,0.6847984949423449,4.1319990158081055,4.074247868613544,stop_loss,138.40156828817504,SELL,0.66,SELL,0.54,Gartley,SELL,0.8,0.77,,9
7471a712,DOT-USD,SELL,BULL,0.6940284923813287,4.05690336227417,4.102411790822552,stop_loss,-103.65385050782572,SELL,0.66,SELL,0.6,Gartley,SELL,0.78,0.86,,10
cb01886b,DOT-USD,SELL,BULL,0.7010979468049168,4.139022350311279,4.189059918119127,stop_loss,-102.61731200274578,SELL,0.68,SELL,0.53,Gartley,SELL,0.82,0.77,,9
10050b69,DOT-USD,SELL,CHOP,0.7205584506977877,4.063042640686035,3.8454931831486863,take_profit,172.70493610062255,SELL,0.34,SELL,0.61,Gartley,SELL,0.81,0.86,,10
64024b75,DOT-USD,BUY,CHOP,0.7035928686172659,3.9191558361053467,3.8697588451302254,stop_loss,-103.31818824372526,BUY,0.82,,,,BUY,0.97,1.0,,14
86757041,DOT-USD,SELL,CHOP,0.6620692561240218,3.8849172592163086,3.9256196211337158,stop_loss,-102.28500636128771,SELL,0.82,,,,SELL,0.89,1.0,,14
64ca617a,DOT-USD,SELL,BEAR,0.6510462086378062,3.8342134952545166,3.8823476329049895,stop_loss,-101.26215629767519,SELL,0.82,,,,SELL,0.89,0.9,,12
0a6e0884,DOT-USD,BUY,CHOP,0.6910278715328694,3.9289560317993164,3.932884987831115,stop_loss,54.204228202530714,BUY,0.85,,,,BUY,0.94,1.0,,15
55ee4954,DOT-USD,SELL,CHOP,0.6765195937786164,3.980407953262329,3.823687969228589,take_profit,171.34568092843054,BUY,0.85,SELL,0.67,Gartley,SELL,0.83,0.76,,11
319b3f36,DOT-USD,BUY,CHOP,0.6963410235233275,3.8508951663970947,3.854746061563491,stop_loss,53.84970949888047,BUY,0.85,,,,BUY,0.95,0.96,,14
b5493a5c,DOT-USD,BUY,CHOP,0.7166929338396568,3.8478338718414307,3.8516817057132715,stop_loss,48.96419061699281,BUY,0.85,,,,BUY,0.99,1.0,,16
