atr_mult,rr_ratio,trades,wins,losses,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,max_dd_pct,expectancy,avg_win,avg_loss,diag_signals,diag_gate_passed,diag_gate_blocked,diag_guard_blocked,diag_calc_failed,diag_validate_failed,diag_opened,error
2.0,3.0,60,18,42,0.3,1.0939129581121432,276.8798539756499,0.02768798539756499,0.055387608243534635,0.0638323462123803,4.614664232927545,179.17445768268794,70.19667581696977,2868,60,1782,8158,0,0,60,
2.0,4.0,58,16,42,0.27586206896551724,0.9973435509656082,-7.8124076432523,-0.00078124076432523,0.006164118738680174,0.07525714560701718,-0.13469668350426645,183.31930802248482,70.0219365715001,2809,58,1781,8161,0,0,58,
5.0,2.0,95,40,55,0.42105263157894735,1.1324383628965309,443.6169377189326,0.04436169377189326,0.09156575360126101,0.06116281047432948,4.66965197598882,94.83068721864386,60.90201001866938,6011,96,3779,6125,0,0,96,
5.0,3.0,88,37,51,0.42045454545454547,1.1686534075846373,551.6190498384003,0.055161904983840035,0.10511273894212227,0.05950192962618715,6.268398293618226,103.30661730574188,64.13187824458913,6025,89,3850,6061,0,0,89,
5.0,1.5,101,46,55,0.45544554455445546,1.1144603349511977,396.70490732747203,0.039670490732747206,0.08681885579289139,0.0547207455745019,3.9277713596779478,83.96907028885899,63.01586047200074,6479,102,4014,5884,0,0,102,
4.0,4.0,89,36,53,0.4044943820224719,1.1459711079611443,526.6028083609744,0.052660280836097445,0.09245446739455405,0.06979162671032182,5.916885487202059,114.83847960316214,68.0675935349595,6234,90,4036,5874,0,0,90,
4.0,3.0,96,39,57,0.40625,1.2370424115150966,936.8733311480592,0.09368733311480591,0.1487233581154713,0.06979162671032166,9.759097199458829,125.36456623401703,69.33938161365994,6369,97,4088,5815,0,0,97,
4.0,2.0,108,44,64,0.4074074074074074,1.1429058643016197,614.8229829183183,0.06148229829183183,0.10870620471679938,0.06746830254282275,5.692805397391787,111.75264921911607,67.22333723004365,6781,109,4294,5597,0,0,109,
3.0,4.0,112,37,75,0.33035714285714285,1.1219965849728457,685.8884710557959,0.0685888471055796,0.09062049312608458,0.10660248321453526,6.12400420585535,170.48871609877472,74.96258699465153,6810,113,4391,5496,0,0,113,
4.0,1.5,118,50,68,0.423728813559322,1.1131579609471958,510.37117801875866,0.051037117801875864,0.09691093063168951,0.06501181168100578,4.325179474735265,100.41250922057428,66.3272688677934,7093,119,4430,5451,0,0,119,
3.0,3.0,120,39,81,0.325,1.0678989264530705,399.43839181326257,0.039943839181326254,0.06012168801609568,0.09797924802585624,3.328653265110617,161.08401273372615,72.62763092348204,7147,121,4561,5318,0,0,121,
3.0,2.0,139,51,88,0.3669064748201439,1.063935795102394,411.1433427743523,0.04111433427743523,0.06534581169701006,0.10188681042733341,2.9578657753550175,134.15116131619484,73.07461232217715,7513,140,4704,5156,0,0,140,
3.0,1.5,169,71,98,0.42011834319526625,1.0456600351901444,325.92445862969,0.032592445862969,0.0549860374203018,0.10168150612954793,1.9285470924833135,105.12666130587091,72.83743361313422,7679,170,4784,5046,0,0,170,
2.0,2.0,223,78,145,0.34977578475336324,1.029981019314933,319.73839246069656,0.031973839246069655,0.0458048104749641,0.12333235386247751,1.4338044504964031,140.82605445723226,73.54961279450633,8651,224,5400,4376,0,0,224,
2.0,1.5,273,113,160,0.4139194139194139,1.0340892113631779,400.71818485654694,0.04007181848565469,0.0555780458135434,0.1317832974559077,1.4678321789616788,107.5725988709471,73.46865929725303,8940,274,5520,4206,0,0,274,
6.0,1.5,95,44,51,0.4631578947368421,1.1522426688407916,451.2186609557939,0.04512186609557939,0.10505528870110338,0.04469975810461387,4.749670115324108,77.61433501485732,58.113962347018266,5623,96,3461,6443,0,0,96,
5.0,4.0,85,35,50,0.4117647058823529,1.1327147193360758,415.8245526026876,0.04158245526026876,0.08075350560783484,0.06078019655015049,4.892053560031691,101.40130300342337,62.66442105034247,5814,86,3735,6179,0,0,86,
8.0,1.5,82,38,44,0.4634146341463415,1.226702005180921,422.4347429335339,0.04224347429335339,0.12622554092228128,0.03431783627192585,5.151643206506499,60.15333999467456,42.349822201456824,5186,83,3164,6753,0,0,83,
8.0,2.0,78,37,41,0.47435897435897434,1.159116515239174,296.08985093376214,0.029608985093376214,0.0892320861933833,0.03431783627192588,3.7960237299200053,58.29531215352891,45.38626094504412,5084,79,3151,6770,0,0,79,
6.0,3.0,83,35,48,0.42168674698795183,1.0803015012636688,216.59864383081913,0.021659864383081914,0.05232541114677047,0.052117970076898355,2.609622214829095,83.25474668054738,56.19411437475716,5406,84,3447,6469,0,0,84,
6.0,2.0,87,38,49,0.4367816091954023,1.1433184421989542,390.2055909149676,0.039020559091496765,0.09129996963421615,0.05170250835801097,4.485121734654815,81.91718523656009,55.56423363416968,5689,88,3573,6339,0,0,88,
6.0,4.0,80,34,46,0.425,1.1377048801490068,355.68645230667244,0.035568645230667245,0.07886792171532633,0.051702508358010754,4.446080653833434,86.43083248976563,56.15134461620342,5547,81,3549,6370,0,0,81,
8.0,3.0,75,35,40,0.4666666666666667,1.2118606535094634,379.2484140805991,0.03792484140805991,0.10704069601006373,0.03431783627192572,5.056645521074703,61.98093259035434,44.752105664544985,5212,76,3230,6694,0,0,76,
8.0,4.0,75,34,41,0.4533333333333333,1.1574726933768167,281.63674867469854,0.028163674867469853,0.08318671166936328,0.03431783627192588,3.755156648996053,60.88578411540192,43.621461249974665,5177,76,3181,6743,0,0,76,
