analyzer,segment,signals,trades,wins,losses,win_rate,profit_factor,total_r,avg_r,ic,buy_trades,buy_wr,sell_trades,sell_wr,error
elliott_wave,test,29,29,5,24,0.1724137931034483,0.4174649646778607,-13.980840847731344,-0.48209796026659807,0.14153081634879183,14,0.14285714285714285,15,0.2,
elliott_wave,train,70,70,22,48,0.3142857142857143,0.9115888254783253,-4.243736377040387,-0.06062480538629124,0.14249425379169833,34,0.3235294117647059,36,0.3055555555555556,
volume,test,21,21,5,16,0.23809523809523808,0.7352373144969507,-4.046837547810353,-0.19270654989573108,0.27636945188956696,13,0.3076923076923077,8,0.125,
trend,test,27,27,7,20,0.25925925925925924,0.6795885686526884,-5.831675215413883,-0.2159879709412549,-0.025277970941470947,12,0.3333333333333333,15,0.2,
volume,train,59,59,23,36,0.3898305084745763,1.2873718214523242,10.345385572283671,0.17534551817429953,0.0032644260956746743,36,0.3888888888888889,23,0.391304347826087,
volatility,test,17,17,6,11,0.35294117647058826,0.8249299426085112,-1.9257706313063787,-0.11328062537096345,-0.31999702218907705,12,0.3333333333333333,5,0.4,
trend,train,66,66,21,45,0.3181818181818182,1.0598070607079182,2.6351094257498415,0.039925900390149115,0.014582990771548496,29,0.3103448275862069,37,0.32432432432432434,
volatility,train,37,37,14,23,0.3783783783783784,1.2358153781975618,5.423753698543924,0.14658793779848442,0.1544057403281463,21,0.2857142857142857,16,0.5,
