analyzer,symbol,bar_index,direction,confidence,entry_price,atr,r,exit_reason
volume,ADA-USD,250,BUY,0.5453767123795893,0.7314988970756531,0.008789301005818973,-1.0,sl
volume,ADA-USD,424,BUY,0.48881345839444085,0.8733994960784912,0.012574868336777964,-1.0,sl
volume,ADA-USD,525,SELL,0.7370304233933664,0.8274667263031006,0.0063570797367739325,-1.0,sl
volume,ADA-USD,652,BUY,0.4538370659583071,0.7511515021324158,0.007454880589473993,-1.0,sl
volume,ADA-USD,758,SELL,0.6754042924035357,0.7489097118377686,0.0048628751112519885,2.0,tp
volume,ADA-USD,858,SELL,0.7530728275048983,0.8148477673530579,0.00624988812204477,-1.0,sl
volume,ADA-USD,996,BUY,0.543578298591402,0.9322285056114197,0.01682524854404465,-1.0,sl
volume,ADA-USD,1104,BUY,0.8,0.8707160949707031,0.013787681563467576,-1.0,sl
volume,ADA-USD,1218,BUY,0.5730124541381354,0.9001032710075378,0.005969694773697161,2.0,tp
volume,ADA-USD,1318,BUY,0.4768558094650809,0.8668113350868225,0.0063955191625297,-1.0,sl
volume,ADA-USD,1421,BUY,0.507159274251693,0.7948567271232605,0.007732075240782539,2.0,tp
volume,ADA-USD,1540,BUY,0.5062871819429512,0.8156017661094666,0.003716622147868013,2.0,tp
volume,ADA-USD,1640,SELL,0.6134916585750411,0.8847005367279053,0.005385218784095823,-1.0,sl
volume,ADA-USD,1778,SELL,0.5973384724578548,0.8769224882125854,0.005158669772516674,-1.0,sl
volume,ADA-USD,1931,BUY,0.45564849845314614,0.8116510510444641,0.006154624653793416,-1.0,sl
volume,ADA-USD,2032,SELL,0.6477107704074813,0.7838033437728882,0.005007540571892047,-1.0,sl
volume,ADA-USD,2150,SELL,0.8,0.8549702167510986,0.005192145036012463,-1.0,sl
volume,ADA-USD,2279,BUY,0.6053895851496576,0.8408897519111633,0.007328864999100271,-1.0,sl
volume,ADA-USD,2389,BUY,0.8,0.6431019306182861,0.013308820259523305,2.0,tp
volume,ADA-USD,2540,SELL,0.6113872544634927,0.6371220350265503,0.005835037831223179,-1.0,sl
volume,ADA-USD,2640,BUY,0.7135898365882611,0.6362130641937256,0.006301039688716187,-1.0,sl
volume,ADA-USD,2767,BUY,0.46706262473161764,0.6667895317077637,0.004742548972105524,-1.0,sl
volume,ADA-USD,2870,BUY,0.5262812404532783,0.6089850068092346,0.003913841710653402,-1.0,sl
volume,ADA-USD,2981,SELL,0.5887419333909163,0.544232189655304,0.006604332569022833,-1.0,sl
volume,ADA-USD,3112,BUY,0.5090034661611347,0.5764467120170593,0.0065991644842598556,-1.0,sl
volume,ADA-USD,3282,BUY,0.6882850014123287,0.39294686913490295,0.006393960552706231,2.0,tp
volume,ADA-USD,3386,BUY,0.5203291095453446,0.4354323744773865,0.003893239821069536,-1.0,sl
volume,ADA-USD,3499,SELL,0.6708082330864529,0.451564759016037,0.003922641131906756,2.0,tp
volume,ADA-USD,3633,BUY,0.5019999246864221,0.4366728961467743,0.003675227558855898,2.0,tp
volume,ADA-USD,3742,SELL,0.4647628210503185,0.4101371765136719,0.0020787308101234254,2.0,tp
volume,ADA-USD,3847,BUY,0.6841128820018618,0.36386072635650635,0.003214534246057557,2.0,tp
volume,ADA-USD,3966,BUY,0.49592885666534503,0.3637603223323822,0.0027054708582890316,-1.0,sl
volume,ADA-USD,4073,SELL,0.5141445671996374,0.35739487409591675,0.0016592317199315644,-1.0,sl
volume,ADA-USD,4192,SELL,0.5053366467945168,0.35112711787223816,0.002108555714473861,-1.0,sl
volume,ADA-USD,4314,BUY,0.8,0.41213369369506836,0.0053040155113656265,-1.0,sl
volume,ADA-USD,4447,BUY,0.5345630648939854,0.38630732893943787,0.0036900027305626277,2.0,tp
volume,ADA-USD,4549,BUY,0.8,0.38161367177963257,0.0027723440989808356,2.0,tp
volume,ADA-USD,4683,BUY,0.5914768351060926,0.3650550842285156,0.0035614660341393265,-1.0,sl
volume,ADA-USD,4814,SELL,0.505939945951426,0.3564296066761017,0.002363927044121672,-1.0,sl
volume,ADA-USD,4983,BUY,0.8,0.28780990839004517,0.0040017305086748325,-1.0,sl
volume,ADA-USD,5083,BUY,0.7659743581385007,0.2731475830078125,0.0031624694176557366,-1.0,sl
volume,ADA-USD,5191,SELL,0.8,0.2654411792755127,0.002178434234413532,-1.0,sl
volume,ADA-USD,5295,SELL,0.4976594037100863,0.2822622060775757,0.0032734490912824624,-1.0,sl
volume,ADA-USD,5418,BUY,0.539989576013962,0.2798866629600525,0.0016869690172427196,-1.0,sl
volume,ADA-USD,5537,BUY,0.5945811202698457,0.2883191704750061,0.0034255903443475514,-1.0,sl
volume,ADA-USD,5646,BUY,0.6601300538294559,0.266185998916626,0.0026160224888717855,-1.0,sl
volume,ADA-USD,5795,SELL,0.515311378121421,0.2585061490535736,0.0024020111252817935,-1.0,sl
volume,ADA-USD,5907,BUY,0.7690705995744296,0.26406675577163696,0.001988505572376618,-1.0,sl
volume,ADA-USD,6029,BUY,0.4917265720087102,0.26896220445632935,0.002192071513002569,-1.0,sl
volume,ADA-USD,6195,BUY,0.6771650828548332,0.2624613046646118,0.0016609333441162794,-1.0,sl
volume,ADA-USD,6317,BUY,0.5633665781337265,0.24351143836975098,0.00180945910652772,-1.0,sl
volume,ADA-USD,6481,BUY,0.4663934787924131,0.2451838254928589,0.0015257224269618612,-1.0,sl
volume,ADA-USD,6588,BUY,0.5803688463818487,0.24745596945285797,0.0011780813893094537,2.0,tp
volume,ADA-USD,6753,BUY,0.6863031071218617,0.25119999051094055,0.0026281612014429456,-1.0,sl
volume,ADA-USD,6865,BUY,0.5712872234124127,0.24639999866485596,0.0019803064064242864,2.0,tp
volume,ADA-USD,7057,SELL,0.46198162641726337,0.24860000610351562,0.0016125520935314163,-1.0,sl
volume,ADA-USD,7157,SELL,0.60577578658913,0.2567000091075897,0.0018822420691214459,-1.0,sl
volume,ADA-USD,7259,BUY,0.6114845023230226,0.2703000009059906,0.0017028452884058653,2.0,tp
volume,ADA-USD,7370,SELL,0.7199340382392505,0.27239999175071716,0.002337349956627472,-1.0,sl
volume,ADA-USD,7532,SELL,0.4698216470284855,0.24639999866485596,0.0018018920642724461,-1.0,sl
volume,ADA-USD,7642,SELL,0.4525734146467637,0.24060000479221344,0.0017017049650199282,-1.0,sl
volume,ADA-USD,7815,BUY,0.6529566813051536,0.22349999845027924,0.0021891048910286275,-1.0,sl
volume,ADA-USD,7915,BUY,0.8,0.15440000593662262,0.004394975972410715,2.0,tp
volume,ADA-USD,8044,SELL,0.8,0.16920000314712524,0.0025758321327532525,-1.0,sl
volume,ADA-USD,8144,SELL,0.8,0.17839999496936798,0.0028187212049239217,2.0,tp
volume,ADA-USD,8270,BUY,0.4704797206867002,0.16030000150203705,0.001184066583458061,-1.0,sl
volume,ADA-USD,8374,BUY,0.5150364466927286,0.1386999934911728,0.002254368007774884,2.0,tp
volume,ADA-USD,8482,SELL,0.7132829983726634,0.14419999718666077,0.0014391185439319727,-1.0,sl
volume,ADA-USD,8621,BUY,0.6055096266409621,0.18850000202655792,0.0024332239723156013,-1.0,sl
volume,ADA-USD,8791,BUY,0.46873988351181506,0.16189999878406525,0.001367541143075361,-1.0,sl
volume,ADA-USD,8915,BUY,0.511555285817326,0.16660000383853912,0.0011599344446673015,-1.0,sl
volume,ADA-USD,9026,BUY,0.7352909049938937,0.16930000483989716,0.001837724714618739,-1.0,sl
volume,ADA-USD,9138,BUY,0.8,0.15680000185966492,0.0014680049167408225,2.0,tp
volume,ADA-USD,9239,SELL,0.45988315080475095,0.17309999465942383,0.001591637441171557,-1.0,sl
volume,ADA-USD,9339,BUY,0.5697016416065521,0.18889999389648438,0.002346792711310058,2.0,tp
volume,ADA-USD,9439,BUY,0.5199596871844059,0.19764000177383423,0.0011728330472470497,-1.0,sl
volume,ADA-USD,9579,SELL,0.48754926109488395,0.1787099987268448,0.0010224474011956372,2.0,tp
volume,ADA-USD,9759,BUY,0.6499236727305122,0.21940000355243683,0.005562063852669318,-1.0,sl
volume,ADA-USD,9886,BUY,0.52660666721689,0.2092600017786026,0.002525834591804621,-1.0,sl
volume,ADA-USD,9994,BUY,0.6287792531228629,0.19514000415802002,0.0023402094156080447,2.0,tp
volume,ADA-USD,10100,SELL,0.5012915921545781,0.2176000028848648,0.0023161660623707133,-1.0,sl
volume,ETH-USD,252,BUY,0.45246429389103615,2951.526611328125,24.963559911422976,2.0,tp
