analyzer,symbols,signals,trades,wins,losses,win_rate,profit_factor,total_r,avg_r,ic,buy_trades,buy_wr,sell_trades,sell_wr
volume,6,471,471,165,306,0.3503184713375796,1.0687085686712536,20.996937693574612,0.04457948554899068,0.0073440391347917985,282,0.35106382978723405,189,0.3492063492063492
trend,6,559,559,194,365,0.3470483005366726,1.05358496299501,19.520438610585973,0.03492028373986757,0.025058528269512974,227,0.3039647577092511,332,0.37650602409638556
volatility,6,247,247,98,149,0.3967611336032389,1.2727175646376152,40.40531164019969,0.16358425765263032,-0.059376918276818014,136,0.41911764705882354,111,0.36936936936936937
harmonic,6,456,456,159,297,0.34868421052631576,1.0665853439501616,19.725904047218158,0.04325856150705736,-0.004813544606055942,234,0.3504273504273504,222,0.34684684684684686
support_resistance,6,381,381,120,261,0.31496062992125984,0.914575058419307,-22.295909752560853,-0.05851944816945106,0.02421154474495569,175,0.26857142857142857,206,0.35436893203883496
elliott_wave,6,594,594,213,381,0.35858585858585856,1.1069804014071352,40.71812583451574,0.06854903339144064,-0.040867895265858246,298,0.35906040268456374,296,0.3581081081081081
momentum,6,56,56,17,39,0.30357142857142855,0.8717948717948718,-5.0,-0.08928571428571429,0.05745281961405337,17,0.35294117647058826,39,0.28205128205128205
