bar,equity,drawdown_pct,open_positions,total_trades
10,10000.0,0.0,0,0
20,10000.0,0.0,0,0
30,10000.0,0.0,0,0
40,10000.0,0.0,0,0
50,10000.0,0.0,0,0
60,10000.0,0.0,0,0
70,10000.0,0.0,0,0
80,10000.0,0.0,0,0
90,10000.0,0.0,0,0
100,10000.0,0.0,0,0
110,10000.0,0.0,0,0
120,10000.0,0.0,0,0
130,10000.0,0.0,0,0
140,10000.0,0.0,0,0
150,10000.0,0.0,0,0
160,10000.0,0.0,1,0
170,10000.0,0.0,1,0
180,9941.199478466615,0.0058800521533385105,0,1
190,9941.199478466615,0.0058800521533385105,0,1
200,9941.199478466615,0.0058800521533385105,0,1
210,9941.199478466615,0.0058800521533385105,0,1
220,9941.199478466615,0.0058800521533385105,0,1
230,9941.199478466615,0.0058800521533385105,0,1
240,9941.199478466615,0.0058800521533385105,0,1
250,9941.199478466615,0.0058800521533385105,0,1
260,9941.199478466615,0.0058800521533385105,0,1
270,9941.199478466615,0.0058800521533385105,0,1
280,9941.199478466615,0.0058800521533385105,0,1
290,9941.199478466615,0.0058800521533385105,0,1
300,9941.199478466615,0.0058800521533385105,0,1
310,9941.199478466615,0.0058800521533385105,0,1
320,9941.199478466615,0.0058800521533385105,0,1
330,9941.199478466615,0.0058800521533385105,0,1
340,9941.199478466615,0.0058800521533385105,0,1
350,9941.199478466615,0.0058800521533385105,0,1
360,9941.199478466615,0.0058800521533385105,0,1
370,9941.199478466615,0.0058800521533385105,0,1
380,9941.199478466615,0.0058800521533385105,0,1
390,9941.199478466615,0.0058800521533385105,0,1
400,9941.199478466615,0.0058800521533385105,0,1
410,9941.199478466615,0.0058800521533385105,0,1
420,9941.199478466615,0.0058800521533385105,0,1
430,9941.199478466615,0.0058800521533385105,0,1
440,9941.199478466615,0.0058800521533385105,0,1
450,9941.199478466615,0.0058800521533385105,0,1
460,9941.199478466615,0.0058800521533385105,0,1
470,9941.199478466615,0.0058800521533385105,0,1
480,9941.199478466615,0.0058800521533385105,0,1
490,9941.199478466615,0.0058800521533385105,0,1
500,9941.199478466615,0.0058800521533385105,0,1
510,9941.199478466615,0.0058800521533385105,0,1
520,9941.199478466615,0.0058800521533385105,0,1
530,9941.199478466615,0.0058800521533385105,0,1
540,9941.199478466615,0.0058800521533385105,0,1
550,9941.199478466615,0.0058800521533385105,0,1
560,9941.199478466615,0.0058800521533385105,0,1
570,9941.199478466615,0.0058800521533385105,0,1
580,9941.199478466615,0.0058800521533385105,0,1
590,9941.199478466615,0.0058800521533385105,0,1
600,9941.199478466615,0.0058800521533385105,0,1
610,9941.199478466615,0.0058800521533385105,0,1
620,9941.199478466615,0.0058800521533385105,0,1
630,9941.199478466615,0.0058800521533385105,0,1
640,9941.199478466615,0.0058800521533385105,0,1
650,9941.199478466615,0.0058800521533385105,0,1
660,9941.199478466615,0.0058800521533385105,0,1
670,9941.199478466615,0.0058800521533385105,0,1
680,9941.199478466615,0.0058800521533385105,0,1
690,9941.199478466615,0.0058800521533385105,0,1
700,9941.199478466615,0.0058800521533385105,0,1
710,9941.199478466615,0.0058800521533385105,0,1
720,9941.199478466615,0.0058800521533385105,0,1
730,9941.199478466615,0.0058800521533385105,0,1
740,9941.199478466615,0.0058800521533385105,0,1
750,9941.199478466615,0.0058800521533385105,0,1
760,9941.199478466615,0.0058800521533385105,0,1
770,9941.199478466615,0.0058800521533385105,0,1
780,9941.199478466615,0.0058800521533385105,0,1
790,9941.199478466615,0.0058800521533385105,0,1
800,9941.199478466615,0.0058800521533385105,0,1
810,9941.199478466615,0.0058800521533385105,0,1
820,9941.199478466615,0.0058800521533385105,0,1
830,9941.199478466615,0.0058800521533385105,0,1
840,9941.199478466615,0.0058800521533385105,0,1
850,9941.199478466615,0.0058800521533385105,0,1
860,9941.199478466615,0.0058800521533385105,0,1
870,9941.199478466615,0.0058800521533385105,0,1
880,9941.199478466615,0.0058800521533385105,0,1
890,9941.199478466615,0.0058800521533385105,0,1
900,9941.199478466615,0.0058800521533385105,0,1
910,9941.199478466615,0.0058800521533385105,0,1
920,9941.199478466615,0.0058800521533385105,0,1
930,9941.199478466615,0.0058800521533385105,0,1
940,9941.199478466615,0.0058800521533385105,0,1
950,9941.199478466615,0.0058800521533385105,0,1
960,9941.199478466615,0.0058800521533385105,0,1
970,9941.199478466615,0.0058800521533385105,0,1
980,9941.199478466615,0.0058800521533385105,0,1
990,9941.199478466615,0.0058800521533385105,0,1
1000,9941.199478466615,0.0058800521533385105,0,1
