id,position_id,symbol,timeframe,direction,entry_price,entry_time,initial_size,initial_stop_loss,final_stop_loss,take_profits,exit_price,exit_time,exit_reason,realized_pnl,realized_pnl_pct,risk_amount,risk_pct,regime,confluence_score,metadata,created_at
1,74a337e2,BTC-USD,1h,BUY,68302.8984375,2026-02-21T16:00:00+00:00,0.14640667129449003,67857.3446833041,67857.3446833041,"[68748.4521916959, 69194.00594589181, 69639.55970008773]",67857.3446833041,2026-02-22T00:00:00+00:00,stop_loss,-65.23204203458596,-0.006523204203458596,100.0,0.01,CHOP,0.662992423002787,"{""regime"": ""CHOP"", ""confluence_score"": 0.662992423002787, ""opened_bar_index"": 205}",2026-09-10T21:17:52.316485+00:00
2,7c3ec334,BTC-USD,1h,BUY,66941.3515625,2026-03-01T06:00:00+00:00,0.10472227351405285,65992.6739197603,65992.6739197603,"[67890.0292052397, 68838.70684797941, 69787.38449071911]",65992.6739197603,2026-03-01T17:00:00+00:00,stop_loss,-99.34767957965357,-0.014171773060989996,99.34767957965414,0.01,CHOP,0.7598956563057209,"{""regime"": ""CHOP"", ""confluence_score"": 0.7598956563057209, ""opened_bar_index"": 387}",2026-09-10T21:17:54.393611+00:00
3,13b2124f,BTC-USD,1h,BUY,68455.4296875,2026-03-03T19:00:00+00:00,0.09232706517419088,67390.14939728071,70706.44299226505,"[69520.70997771929, 70585.99026793859, 71651.27055815788]",71651.27055815788,2026-03-04T09:00:00+00:00,take_profit,167.2021447325579,0.026454826178725785,98.3542027838576,0.01,CHOP,0.6507690833000422,"{""regime"": ""CHOP"", ""confluence_score"": 0.6507690833000422, ""opened_bar_index"": 448}",2026-09-10T21:17:55.034687+00:00
4,a9b5d387,BTC-USD,1h,BUY,68341.328125,2026-03-06T14:00:00+00:00,0.11623561803624917,67480.78102316424,67480.78102316424,"[69201.87522683576, 70062.42232867153, 70922.96943050729]",67480.78102316424,2026-03-07T19:00:00+00:00,stop_loss,-100.02622423118306,-0.012591899008192766,100.02622423118319,0.01,CHOP,0.7054035030112218,"{""regime"": ""CHOP"", ""confluence_score"": 0.7054035030112218, ""opened_bar_index"": 515}",2026-09-10T21:17:55.724280+00:00
5,6cb5b245,BTC-USD,1h,BUY,68344.578125,2026-03-09T18:00:00+00:00,0.11477998208175451,67481.83219846433,68412.92270312499,"[69207.32405153567, 70070.06997807135, 70932.81590460702]",68412.92270312499,2026-03-09T23:00:00+00:00,stop_loss,53.43527572072139,0.006811736425951229,99.02596198887136,0.01,CHOP,0.6524775763530662,"{""regime"": ""CHOP"", ""confluence_score"": 0.6524775763530662, ""opened_bar_index"": 591}",2026-09-10T21:17:56.373591+00:00
6,c0008947,BTC-USD,1h,BUY,68399.7578125,2026-04-01T05:00:00+00:00,0.13583013786036885,67666.78119689482,68468.1575703125,"[69132.73442810518, 69865.71104371037, 70598.68765931555]",68468.1575703125,2026-04-01T08:00:00+00:00,stop_loss,54.425531639682646,0.005858035167422951,99.56031474607857,0.01,CHOP,0.6571031274808943,"{""regime"": ""CHOP"", ""confluence_score"": 0.6571031274808943, ""opened_bar_index"": 1130}",2026-09-10T21:18:03.498210+00:00
7,74a16b03,BTC-USD,1h,SELL,66555.1875,2026-04-03T05:00:00+00:00,0.15040836608337313,67055.31283355509,67055.31283355509,"[66055.06216644491, 65554.93683288983, 65054.81149933474]",67055.31283355509,2026-04-03T07:00:00+00:00,stop_loss,-75.22303425692253,-0.00751444556526997,100.1045700624754,0.01,CHOP,0.7094768324416034,"{""regime"": ""CHOP"", ""confluence_score"": 0.7094768324416034, ""opened_bar_index"": 1178}",2026-09-10T21:18:04.155361+00:00
8,8f404d75,BTC-USD,1h,BUY,68325.484375,2026-04-05T22:00:00+00:00,0.14541037012576052,67930.40207125452,69381.29130112137,"[68720.56667874548, 69115.64898249098, 69510.73128623646]",69510.73128623646,2026-04-06T09:00:00+00:00,take_profit,97.66340883020806,0.009830005926940468,99.35233971990618,0.01,CHOP,0.6655696281267485,"{""regime"": ""CHOP"", ""confluence_score"": 0.6655696281267485, ""opened_bar_index"": 1243}",2026-09-10T21:18:05.086373+00:00
9,84a214f3,BTC-USD,1h,SELL,68141.9921875,2026-04-07T15:00:00+00:00,0.14723516379172233,68723.93181433821,68723.93181433821,"[67560.05256066179, 66978.11293382359, 66396.17330698538]",68723.93181433821,2026-04-07T17:00:00+00:00,stop_loss,-85.68197627441785,-0.00854010292562246,100.32897380820827,0.01,CHOP,0.6506655678304563,"{""regime"": ""CHOP"", ""confluence_score"": 0.6506655678304563, ""opened_bar_index"": 1284}",2026-09-10T21:18:05.576904+00:00
10,c98fe967,BTC-USD,1h,BUY,77889.9921875,2026-05-21T00:00:00+00:00,0.12770851716868917,77342.83458130578,77342.83458130578,"[78437.14979369422, 78984.30739988842, 79531.46500608264]",77342.83458130578,2026-05-21T10:00:00+00:00,stop_loss,-69.87668654463313,-0.007024748505264675,99.4721540454641,0.01,CHOP,0.6754444403265054,"{""regime"": ""CHOP"", ""confluence_score"": 0.6754444403265054, ""opened_bar_index"": 2312}",2026-09-10T21:18:21.317526+00:00
11,35c08ecd,BTC-USD,1h,BUY,63950.9296875,2026-07-18T07:00:00+00:00,0.15445183934413426,63618.72452767536,64473.839119407734,"[64283.13484732464, 64615.34000714927, 64947.54516697391]",64473.839119407734,2026-07-19T09:00:00+00:00,stop_loss,72.59353248568931,0.0073495031969881925,98.77338718001776,0.01,CHOP,0.6619191062229393,"{""regime"": ""CHOP"", ""confluence_score"": 0.6619191062229393, ""opened_bar_index"": 3690}",2026-09-10T21:18:46.132333+00:00
12,031d9251,BTC-USD,1h,SELL,63889.83984375,2026-07-24T16:00:00+00:00,0.1557357519571371,64406.8389353722,64406.8389353722,"[63372.8407521278, 62855.84166050559, 62338.84256888339]",64406.8389353722,2026-07-26T00:00:00+00:00,stop_loss,-80.51524229494035,-0.008092039248910037,99.49932250487466,0.01,CHOP,0.6678599037325894,"{""regime"": ""CHOP"", ""confluence_score"": 0.6678599037325894, ""opened_bar_index"": 3843}",2026-09-10T21:18:48.828363+00:00
13,c9855cab,BTC-USD,1h,BUY,64309.421875,2026-07-26T07:00:00+00:00,0.1534676680405553,64112.553119490716,64373.73129687499,"[64506.290630509284, 64703.15938601857, 64900.02814152785]",64373.73129687499,2026-07-26T13:00:00+00:00,stop_loss,20.04120291312352,0.0020306369562140777,98.69417008192526,0.01,CHOP,0.6643321450870344,"{""regime"": ""CHOP"", ""confluence_score"": 0.6643321450870344, ""opened_bar_index"": 3882}",2026-09-10T21:18:49.051136+00:00
14,3f702aff,BTC-USD,1h,BUY,64299.078125,2026-08-04T20:00:00+00:00,0.15380404353356583,63821.39375163014,63821.39375163014,"[64776.76249836986, 65254.44687173972, 65732.13124510957]",63821.39375163014,2026-08-05T13:00:00+00:00,stop_loss,-73.46978815708243,-0.007429101431924495,98.8945821110565,0.01,CHOP,0.6655862368655258,"{""regime"": ""CHOP"", ""confluence_score"": 0.6655862368655258, ""opened_bar_index"": 4111}",2026-09-10T21:18:53.829018+00:00
15,8a7bc56d,BTC-USD,1h,SELL,64267.30078125,2026-08-06T23:00:00+00:00,0.15273690202673618,64588.798234595146,64588.798234595146,"[63945.803327904854, 63624.305874559715, 63302.80842121457]",64588.798234595146,2026-08-07T08:00:00+00:00,stop_loss,-49.10452503342274,-0.005002504375272329,98.15988422948567,0.01,CHOP,0.6829232104217946,"{""regime"": ""CHOP"", ""confluence_score"": 0.6829232104217946, ""opened_bar_index"": 4162}",2026-09-10T21:18:54.626596+00:00
