symbol,timeframe,bars,trades,wins,losses,breakeven,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,sortino,max_dd_pct,max_dd_dollar,expectancy,avg_win,avg_loss,starting_equity,final_equity,duration_sec,gate_mode,atr_multiplier,rr_ratio,filter_chop,error
BTC-USD,1h,10000,85,37,48,0,0.43529411764705883,0.5821215567572865,-314.2050088512133,-0.03142050088512133,-0.24728021152881463,-0.00523375782170622,0.03783307026599158,380.85216936672805,-12.186150819452532,38.99846060898724,51.64095546220819,10000.0,9685.794991148787,44.26391,aggressive,3.0,2.5,True,
ETH-USD,1h,10000,43,27,16,0,0.627906976744186,1.9262168123961618,768.90625,0.076890625,0.27499579691197484,0.0,0.0,0.0,32.26438916352016,106.86134793742924,93.61797876745143,10000.0,10768.90625,44.106492,aggressive,3.0,2.5,True,
ADA-USD,1h,10000,31,22,9,0,0.7096774193548387,2.9729493602296664,-8.66078823812677,-0.000866078823812677,-6.58281272066066e-16,-2.7540635528953768e-17,0.04900995010000017,514.9107882381268,59.36850415232694,126.05692038930047,103.64762442694172,10000.0,9991.339211761873,46.048499,aggressive,3.0,2.5,True,
DOT-USD,1h,10000,73,42,31,0,0.5753424657534246,1.559267333107058,-141.83996684407612,-0.014183996684407611,-0.04381419342858995,-0.0020885325737333184,0.0524644335682503,545.8399668440761,24.3056139138562,117.78264213576992,102.34068238680109,10000.0,9858.160033155924,19.369016,aggressive,4.0,2.0,False,
ATOM-USD,1h,10000,44,33,11,0,0.75,3.5402038008908825,791.4249522628306,0.07914249522628307,0.23244294188826817,0.013664376235460553,0.019899999999999987,206.9779021991999,60.64774777318023,112.69719755387827,95.50060156891391,10000.0,10791.42495226283,45.06742,aggressive,3.0,2.0,True,
