symbol,timeframe,bars,trades,wins,losses,breakeven,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,sortino,max_dd_pct,max_dd_dollar,expectancy,avg_win,avg_loss,starting_equity,final_equity,duration_sec,load_time_sec,cache_time_sec,loop_time_sec,bars_per_sec,gate_mode,atr_multiplier,rr_ratio,filter_chop,regime_1d_filter_mode,long_only,blocked_by_1d,error
BTC-USD,2h,8416,1615,587,1028,0,0.3634674922600619,1.4211467118855967,4289.522553089242,0.4289522553089242,0.3000791214253935,0.06536287668290684,0.07838195063614138,996.8923979300253,32.622412019221514,302.8698163784891,121.69201050888165,10000.0,14289.522553089242,20.91053795814514,0.0,0.03366804122924805,20.869181394577026,403.27408348594565,aggressive,2.0,3.0,True,baseline,False,321,
ETH-USD,1h,17075,1308,519,789,0,0.3967889908256881,1.3854529562197835,3051.739143879113,0.3051739143879113,0.16738633494380367,0.02509181539811898,0.10954991120094044,1605.7237594958006,27.286162228646162,247.1742618458433,117.35505919255195,10000.0,13051.739143879113,39.19599795341492,0.0,0.04732251167297363,39.1396644115448,436.25821163053934,aggressive,2.5,2.5,True,baseline,False,498,
ADA-USD,1h,17075,1942,775,1167,0,0.39907312049433574,1.3486828683888543,5057.602395241331,0.5057602395241331,0.23172405538890536,0.03872954418510431,0.12997943884581195,1714.3339541626992,25.405980888699318,246.2423351958407,121.25055260576048,10000.0,15057.60239524133,26.1784086227417,0.0,0.051107168197631836,26.117125988006592,653.785566139288,aggressive,3.0,2.5,False,none,False,0,
DOT-USD,1h,17075,2239,846,1393,0,0.3778472532380527,1.2324002854692406,2469.5357117393323,0.24695357117393324,0.13178204613949662,0.021533166100099393,0.24142353996596086,3462.7900501190215,18.25402607799458,256.1872608411483,126.24813947091283,10000.0,12469.535711739332,31.735978841781616,0.0,0.04642820358276367,31.678484678268433,539.0093678222405,aggressive,2.5,2.5,False,none,False,0,
ATOM-USD,1h,17075,1783,761,1022,0,0.42680874929893436,1.348370531822895,3018.5157900789873,0.3018515790078987,0.1687144871776923,0.026332895627826463,0.16896326266474132,1977.2684363823664,21.866859265851744,198.29918867655826,109.50789873957648,10000.0,13018.515790078987,44.07584595680237,0.0,0.04992508888244629,44.01580262184143,387.9288569766323,aggressive,4.0,3.5,True,drawdown_10,False,442,
