symbol,timeframe,bars,trades,wins,losses,breakeven,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,sortino,max_dd_pct,max_dd_dollar,expectancy,avg_win,avg_loss,starting_equity,final_equity,duration_sec,gate_mode,atr_multiplier,rr_ratio,filter_chop,regime_1d_filter,long_only,blocked_by_1d,error
BTC-USD,2h,8417,754,266,488,0,0.35278514588859416,1.4573057126526086,3474.230157963644,0.3474230157963644,0.2519221766104497,0.055330168108173663,0.11250906297825161,1344.8565842536118,34.59241292278888,312.47451766954185,116.87611138589205,10000.0,13474.230157963644,61.072885,aggressive,2.0,3.0,True,True,False,294,
ETH-USD,1h,10000,498,202,296,0,0.40562248995983935,1.399684453732713,780.0317488291184,0.07800317488291185,0.13612636107384912,0.011586699604574108,0.09021603883713306,902.1603883713306,26.151743970038623,225.78314174577903,110.08319640394637,10000.0,10780.031748829118,93.355495,aggressive,2.5,2.5,True,True,False,116,
ADA-USD,1h,10000,701,280,421,0,0.39942938659058486,1.4077325937939669,2818.2152849708746,0.28182152849708747,0.2406303917277994,0.04002814509070408,0.13409751592316188,1550.7031256362807,25.931207270157167,224.14417618489148,105.89689557099629,10000.0,12818.215284970875,78.962054,aggressive,3.0,2.5,True,True,False,604,
DOT-USD,1h,10000,836,312,524,0,0.37320574162679426,1.2111185534976403,1272.2343779322982,0.1272234377932298,0.11080574582878729,0.020849872892143437,0.14598773864127962,1616.8102864974662,14.297358411757088,219.76966362765896,108.0449301900776,10000.0,11272.234377932298,77.413235,aggressive,2.5,2.5,True,False,False,0,
ATOM-USD,1h,10000,772,333,439,0,0.43134715025906734,1.3340179821006983,1003.3162491793846,0.10033162491793846,0.10136769216190049,0.017029311993673347,0.11716457412801663,1241.2918126499335,19.69509060579376,182.3571875975461,103.69096474330313,10000.0,11003.316249179385,70.299042,aggressive,4.0,3.5,True,False,False,0,
