symbol,timeframe,bars,trades,wins,losses,breakeven,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,sortino,max_dd_pct,max_dd_dollar,expectancy,avg_win,avg_loss,starting_equity,final_equity,duration_sec,gate_mode,atr_multiplier,rr_ratio,filter_chop,regime_1d_filter_mode,long_only,blocked_by_1d,error
BTC-USD,2h,8416,1332,480,852,0,0.36036036036036034,1.422398975088716,5121.511066081104,0.5121511066081105,0.3413823387219657,0.07497723284309847,0.1018201580930422,1091.3890489907244,32.488109453357595,303.588979311831,120.24477497395134,10000.0,15121.511066081104,67.396524,aggressive,2.0,3.0,True,baseline,False,290,
ETH-USD,1h,17075,976,392,584,0,0.4016393442622951,1.4071612742441177,5264.40294502572,0.526440294502572,0.24879865620586583,0.03897544670036621,0.09674325686642656,1412.1207359009586,28.04729314156188,241.34155912125692,115.12283059823342,10000.0,15264.40294502572,119.548633,aggressive,2.5,2.5,True,baseline,False,514,
ADA-USD,1h,17075,1526,608,918,0,0.3984272608125819,1.3555284784192918,5260.107764826791,0.5260107764826791,0.23281540527681283,0.03997892475486425,0.12054422005476051,1565.8213727671646,25.57057976788063,244.6953865608116,119.55783257427844,10000.0,15260.107764826791,61.864413,aggressive,3.0,2.5,False,none,False,0,
DOT-USD,1h,17075,1742,662,1080,0,0.38002296211251435,1.2476925324023591,5348.928258865924,0.5348928258865925,0.2031374100137053,0.04069958790011391,0.20323731565366537,2951.253156484405,18.97376602642055,251.5002171890539,123.55633644548989,10000.0,15348.928258865924,82.707042,aggressive,2.5,2.5,False,none,False,0,
ATOM-USD,1h,17075,1460,622,838,0,0.426027397260274,1.3387168010648345,5113.32293109509,0.511332293109509,0.2437537089201335,0.03998422881382709,0.10962065437209001,1358.608126813091,21.134774897150336,196.07041698756493,108.71005729883757,10000.0,15113.32293109509,116.561525,aggressive,4.0,3.5,True,drawdown_10,False,396,
