symbol,timeframe,bars,trades,wins,losses,breakeven,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,sortino,max_dd_pct,max_dd_dollar,expectancy,avg_win,avg_loss,starting_equity,final_equity,duration_sec,gate_mode,atr_multiplier,rr_ratio,filter_chop,long_only,error
BTC-USD,2h,8416,344,120,224,0,0.3488372093023256,1.4579931571927318,5235.5648614754555,0.5235564861475456,0.33808134843096205,0.0855002590524818,0.09089439488884603,1173.5142353509054,34.59709346562664,315.72815209082574,116.00883079787287,10000.0,15235.564861475455,54.249931,aggressive,2.0,3.0,True,False,
ETH-USD,1h,10000,301,123,178,0,0.40863787375415284,1.3766538037566216,2163.8011170506797,0.21638011170506796,0.18902302791209655,0.03432238939058782,0.08590759734699734,974.8593070008628,24.09562613997589,215.5172226894423,108.178847880161,10000.0,12163.80111705068,67.965907,aggressive,3.0,2.5,True,False,
ADA-USD,1h,10000,347,136,211,0,0.3919308357348703,1.342139406906172,2803.2214140801643,0.2803221414080164,0.21746776486102912,0.04312447068977215,0.12529747653018178,1419.1143537270818,21.410792162553896,214.29785890879432,102.91452100089964,10000.0,12803.221414080164,68.641072,aggressive,3.0,2.5,True,False,
DOT-USD,1h,10000,377,154,223,0,0.40848806366047746,1.224650137294613,2773.845376512405,0.2773845376512405,0.20920371543995622,0.04260714846884094,0.11396720188462504,1275.434355093863,13.614500003373458,181.68859767316664,102.4546078044658,10000.0,12773.845376512405,76.632834,aggressive,2.5,2.5,True,False,
ATOM-USD,1h,10000,384,175,209,0,0.4557291666666667,1.4447449419911393,2667.9313959582396,0.26679313959582396,0.22427400879780354,0.0406070273560177,0.12632877600705802,1390.5328557032153,24.966702079328243,177.96496754367536,103.14189340517294,10000.0,12667.93139595824,71.422963,aggressive,3.0,2.0,True,False,
