bar,equity
0,10000.0
1,10000.0
2,10000.0
3,10000.0
4,10000.0
5,10000.0
6,10000.0
7,10000.0
8,10000.0
9,10000.0
10,10000.0
11,10000.0
12,10000.0
13,10000.0
14,10000.0
15,10000.0
16,10000.0
17,10000.0
18,10000.0
19,10000.0
20,10000.0
21,10000.0
22,10000.0
23,10000.0
24,10000.0
25,10000.0
26,10000.0
27,10000.0
28,10000.0
29,10000.0
30,10000.0
31,10000.0
32,10000.0
33,10000.0
34,10000.0
35,10000.0
36,10000.0
37,10000.0
38,10000.0
39,10000.0
40,10000.0
41,10000.0
42,10000.0
43,10000.0
44,10000.0
45,10150.668295250636
46,10150.668295250636
47,10150.668295250636
48,10150.668295250636
49,10150.668295250636
50,10150.668295250636
51,10150.668295250636
52,10150.668295250636
53,10150.668295250636
54,10150.668295250636
55,10150.668295250636
56,10150.668295250636
57,10150.668295250636
58,10150.668295250636
59,10150.668295250636
60,10150.668295250636
61,10150.668295250636
62,10150.668295250636
63,10150.668295250636
64,10150.668295250636
65,10150.668295250636
66,10150.668295250636
67,10150.668295250636
68,10150.668295250636
69,10150.668295250636
70,10150.668295250636
71,10150.668295250636
72,10150.668295250636
73,10150.668295250636
74,10150.668295250636
75,10150.668295250636
76,10150.668295250636
77,10150.668295250636
78,10150.668295250636
79,10150.668295250636
80,10150.668295250636
81,10049.16161229813
82,10049.16161229813
83,10049.16161229813
84,10049.16161229813
85,10049.16161229813
86,10049.16161229813
87,10049.16161229813
88,10049.16161229813
89,10049.16161229813
90,10049.16161229813
91,10049.16161229813
92,10049.16161229813
93,10049.16161229813
94,10049.16161229813
95,10049.16161229813
96,10049.16161229813
97,10049.16161229813
98,10049.16161229813
99,10049.16161229813
100,10049.16161229813
101,10049.16161229813
102,10049.16161229813
103,10049.16161229813
104,10049.16161229813
105,10049.16161229813
106,10049.16161229813
107,10049.16161229813
108,10049.16161229813
109,10049.16161229813
110,10049.16161229813
111,10049.16161229813
112,10049.16161229813
113,9948.66999617515
114,9948.66999617515
115,9948.66999617515
116,9948.66999617515
117,9948.66999617515
118,9948.66999617515
119,9948.66999617515
120,9948.66999617515
121,9948.66999617515
122,9948.66999617515
123,9948.66999617515
124,9948.66999617515
125,9948.66999617515
126,9948.66999617515
127,9948.66999617515
128,9948.66999617515
129,9948.66999617515
130,9948.66999617515
131,9948.66999617515
132,9948.66999617515
133,9948.66999617515
134,9948.66999617515
135,9948.66999617515
136,9948.66999617515
137,9948.66999617515
138,9948.66999617515
139,9948.66999617515
140,9948.66999617515
141,9948.66999617515
142,9948.66999617515
143,9948.66999617515
144,9948.66999617515
145,9948.66999617515
146,9948.66999617515
147,9948.66999617515
148,9948.66999617515
149,9948.66999617515
150,9948.66999617515
151,9948.66999617515
152,9948.66999617515
153,9948.66999617515
154,9948.66999617515
155,9948.66999617515
156,9948.66999617515
157,9948.66999617515
158,9948.66999617515
159,9872.190604294121
160,9872.190604294121
161,9872.190604294121
162,9872.190604294121
163,9872.190604294121
164,9872.190604294121
165,9872.190604294121
166,9872.190604294121
167,9872.190604294121
168,9872.190604294121
169,9872.190604294121
170,9872.190604294121
171,9872.190604294121
172,9872.190604294121
173,9872.190604294121
174,9872.190604294121
175,9872.190604294121
176,9872.190604294121
177,9872.190604294121
178,9872.190604294121
179,9872.190604294121
180,9872.190604294121
181,9872.190604294121
182,9872.190604294121
183,9872.190604294121
184,9872.190604294121
185,9872.190604294121
186,9872.190604294121
187,9872.190604294121
188,9872.190604294121
189,9872.190604294121
190,9872.190604294121
191,9872.190604294121
192,9872.190604294121
193,9872.190604294121
194,9872.190604294121
195,9872.190604294121
196,9872.190604294121
197,9872.190604294121
198,9872.190604294121
199,9872.190604294121
200,9872.190604294121
201,9872.190604294121
202,9872.190604294121
203,9872.190604294121
204,9872.190604294121
205,9872.190604294121
206,9872.190604294121
207,9872.190604294121
208,9872.190604294121
209,9872.190604294121
210,9872.190604294121
211,9872.190604294121
212,9872.190604294121
213,9872.190604294121
214,9872.190604294121
215,9872.190604294121
216,9872.190604294121
217,9872.190604294121
218,9872.190604294121
219,9872.190604294121
220,9872.190604294121
221,9872.190604294121
222,9872.190604294121
223,9872.190604294121
224,9872.190604294121
225,9872.190604294121
226,9872.190604294121
227,9872.190604294121
228,9872.190604294121
