symbol,timeframe,bars,trades,wins,losses,breakeven,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,sortino,max_dd_pct,max_dd_dollar,expectancy,avg_win,avg_loss,starting_equity,final_equity,duration_sec,gate_mode,atr_multiplier,rr_ratio,filter_chop,regime_1d_filter_mode,long_only,blocked_by_1d,error
BTC-USD,2h,8410,1189,425,764,0,0.35744322960470987,1.418409775743678,5121.511066081104,0.5121511066081105,0.34150415064862394,0.07503073069029298,0.1018201580930422,1091.3890489907244,32.08801574919367,304.323632827122,119.35195448394711,10000.0,15121.511066081104,67.277604,aggressive,2.0,3.0,True,baseline,False,290,
ETH-USD,1h,17064,805,324,481,0,0.40248447204968946,1.407090157414647,5264.40294502572,0.526440294502572,0.24887885477714705,0.03900057299197402,0.09674325686642656,1412.1207359009586,27.465534361662918,235.86866343620133,112.91412015008436,10000.0,15264.40294502572,120.667197,aggressive,2.5,2.5,True,baseline,False,514,
ADA-USD,1h,17064,1313,523,790,0,0.3983244478293983,1.3609743581286946,5260.107764826791,0.5260107764826791,0.2328904494615639,0.04000469795842187,0.12054422005476051,1565.8213727671646,25.71256432670164,243.37839257466356,118.38772450074657,10000.0,15260.107764826791,61.554634,aggressive,3.0,2.5,False,none,False,0,
DOT-USD,1h,17064,1445,551,894,0,0.3813148788927336,1.2572850128303792,5348.928258865924,0.5348928258865925,0.20320288462580763,0.04072582569340356,0.20323731565366537,2951.253156484405,19.1718838471687,245.69724531053632,120.44274049994043,10000.0,15348.928258865924,81.311541,aggressive,2.5,2.5,False,none,False,0,
ATOM-USD,1h,17064,1292,548,744,0,0.4241486068111455,1.3219123381486264,5113.32293109509,0.511332293109509,0.24383228051157765,0.04001000543675108,0.10962065437209001,1358.608126813091,19.925269673950858,192.90842567081057,107.4870549043813,10000.0,15113.32293109509,118.627223,aggressive,4.0,3.5,True,drawdown_10,False,396,
