symbol,timeframe,bars,trades,wins,losses,breakeven,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,sortino,max_dd_pct,max_dd_dollar,expectancy,avg_win,avg_loss,starting_equity,final_equity,duration_sec,gate_mode,atr_multiplier,rr_ratio,filter_chop,regime_1d_filter_mode,long_only,blocked_by_1d,error
BTC-USD,2h,8417,1046,370,676,0,0.35372848948374763,1.4132961452365793,3474.230157963644,0.3474230157963644,0.2519221766104497,0.055330168108173663,0.11250906297825161,1344.8565842536118,31.5785273993405,305.27669684695894,118.22668368885303,10000.0,13474.230157963644,61.933075,aggressive,2.0,3.0,True,baseline,False,294,
ETH-USD,1h,17078,634,256,378,0,0.4037854889589905,1.4069746435939565,1910.8918595168616,0.19108918595168617,0.16452388355314282,0.016453684434804047,0.10659750329289727,1199.3954280284543,26.569956176834296,227.48829191846008,109.50172093918738,10000.0,11910.891859516862,152.665283,aggressive,2.5,2.5,True,baseline,False,118,
ADA-USD,1h,17078,1100,438,662,0,0.3981818181818182,1.3687068168697647,5322.082522687655,0.5322082522687654,0.24365479682994723,0.04036805204253841,0.12830822984066662,1871.423839622581,25.90953563284762,241.55023653909672,116.76512750451961,10000.0,15322.082522687655,87.958813,aggressive,3.0,2.5,False,none,False,0,
DOT-USD,1h,17078,1148,440,708,0,0.3832752613240418,1.2729121223579356,5226.079937875793,0.5226079937875793,0.2556696642599317,0.038397801221382644,0.14240063354978183,1945.5770228877755,19.472512108268987,236.96641034785745,115.6931873626617,10000.0,15226.079937875793,67.911748,aggressive,2.5,2.5,False,none,False,0,
ATOM-USD,1h,17078,1124,474,650,0,0.42170818505338076,1.2996747986527037,3706.46264531574,0.37064626453157395,0.1911722791861021,0.030876748178302094,0.09935200113018051,1159.2457585993634,18.354204170506677,188.75914592604005,105.91032258660535,10000.0,13706.46264531574,120.731541,aggressive,4.0,3.5,True,drawdown_10,False,444,
