symbol,timeframe,bars,trades,wins,losses,breakeven,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,sortino,max_dd_pct,max_dd_dollar,expectancy,avg_win,avg_loss,starting_equity,final_equity,duration_sec,load_time_sec,loop_time_sec,stats_time_sec,bars_per_sec,gate_mode,atr_multiplier,rr_ratio,filter_chop,regime_1d_filter_mode,long_only,blocked_by_1d,error
BTC-USD,2h,8416,1475,535,940,0,0.36271186440677966,1.4255978816764137,5121.511066081104,0.5121511066081105,0.3413823387219657,0.07497723284309847,0.1018201580930422,1091.3890489907244,32.81062566640914,303.0053760520205,120.97042907433774,10000.0,15121.511066081104,55.68767833709717,0.0,55.676103591918945,0.006064891815185547,151.1600032517637,aggressive,2.0,3.0,True,baseline,False,290,
ETH-USD,1h,17075,1147,460,687,0,0.4010462074978204,1.4072094637615042,5264.40294502572,0.526440294502572,0.24879865620586583,0.03897544670036621,0.09674325686642656,1412.1207359009586,28.45558940818667,245.19638129942652,116.66924941273084,10000.0,15264.40294502572,106.34988188743591,0.0,106.33856558799744,0.007790088653564453,160.57203617129923,aggressive,2.5,2.5,True,baseline,False,514,
ADA-USD,1h,17075,1739,693,1046,0,0.39850488786659,1.3514855716189993,5260.107764826791,0.5260107764826791,0.23281540527681283,0.03997892475486425,0.12054422005476051,1565.8213727671646,25.463376935372338,245.6893084291456,120.44156620533978,10000.0,15260.107764826791,51.77437901496887,0.0,51.76016306877136,0.009056806564331055,329.88690505694944,aggressive,3.0,2.5,False,none,False,0,
DOT-USD,1h,17075,2039,773,1266,0,0.37910740559097594,1.2412048441249373,5348.928258865924,0.5348928258865925,0.2031374100137053,0.04069958790011391,0.20323731565366537,2951.253156484405,18.833363745409812,255.63661758370225,125.75503689992988,10000.0,15348.928258865924,70.13294959068298,0.0,70.11827993392944,0.010794878005981445,243.51709734022725,aggressive,2.5,2.5,False,none,False,0,
ATOM-USD,1h,17075,1628,696,932,0,0.4275184275184275,1.351862545967559,5113.32293109509,0.511332293109509,0.2437537089201335,0.03998422881382709,0.10962065437209001,1358.608126813091,22.094652506716614,198.560030840412,109.68635963947649,10000.0,15113.32293109509,103.93729639053345,0.0,103.91958427429199,0.009614944458007812,164.30974122193516,aggressive,4.0,3.5,True,drawdown_10,False,396,
