id,position_id,symbol,timeframe,direction,entry_price,entry_time,initial_size,initial_stop_loss,final_stop_loss,take_profits,exit_price,exit_time,exit_reason,realized_pnl,realized_pnl_pct,risk_amount,risk_pct,regime,confluence_score,metadata,created_at
1,68389a66,ETH-USD,1h,BUY,2000.7767333984375,2026-02-15T13:00:00+00:00,3.6714960483694044,1973.5398798971482,1973.5398798971482,"[2028.0135868997268, 2055.250440401016, 2082.4872939023053]",1973.5398798971482,2026-02-15T17:00:00+00:00,stop_loss,-99.9999999999999,-0.013613139860451024,100.0,0.01,CHOP,0.6699451002598729,"{""regime"": ""CHOP"", ""confluence_score"": 0.6699451002598729, ""opened_bar_index"": 42}",2026-09-11T13:41:24.240777+00:00
2,552ecea8,ETH-USD,1h,BUY,1998.769775390625,2026-02-17T19:00:00+00:00,2.933520799057721,1965.0219321737643,2000.7685451660154,"[2032.5176186074857, 2066.2654618243464, 2100.0133050412073]",2000.7685451660154,2026-02-18T10:00:00+00:00,stop_loss,52.43171635431783,0.008942153676819801,99.0,0.01,CHOP,0.6642617567051567,"{""regime"": ""CHOP"", ""confluence_score"": 0.6642617567051567, ""opened_bar_index"": 96}",2026-09-11T13:41:24.808901+00:00
3,8d41ad3d,ETH-USD,1h,BUY,1967.625732421875,2026-02-20T09:00:00+00:00,3.7935689009709126,1947.4578346663031,1947.4578346663031,"[1987.7936301774469, 2007.9615279330185, 2028.1294256885903]",1947.4578346663031,2026-02-20T11:00:00+00:00,stop_loss,-76.50830972349847,-0.010249864810798122,99.52431716354319,0.01,CHOP,0.6631853361381983,"{""regime"": ""CHOP"", ""confluence_score"": 0.6631853361381983, ""opened_bar_index"": 158}",2026-09-11T13:41:25.385331+00:00
4,0ef748a0,ETH-USD,1h,BUY,1975.3941650390625,2026-02-20T18:00:00+00:00,3.7496023254815305,1949.8708282274965,1949.8708282274965,"[2000.9175018506285, 2026.4408386621944, 2051.9641754737604]",1949.8708282274965,2026-02-22T13:00:00+00:00,stop_loss,-95.70236306269611,-0.012920629848606067,98.7592340663082,0.01,CHOP,0.7322484969603233,"{""regime"": ""CHOP"", ""confluence_score"": 0.7322484969603233, ""opened_bar_index"": 167}",2026-09-11T13:41:25.480256+00:00
5,a5c4bedb,ETH-USD,1h,SELL,1927.24658203125,2026-02-27T16:00:00+00:00,3.221032236571209,1957.6102056315501,1925.3193354492187,"[1896.8829584309499, 1866.5193348306495, 1836.1557112303494]",1925.3193354492187,2026-02-27T23:00:00+00:00,stop_loss,52.00496690211281,0.008377462044399634,97.80221043568125,0.01,CHOP,0.7346741234706856,"{""regime"": ""CHOP"", ""confluence_score"": 0.7346741234706856, ""opened_bar_index"": 333}",2026-09-11T13:41:26.981747+00:00
6,c7b20071,ETH-USD,1h,SELL,1930.7469482421875,2026-02-27T23:00:00+00:00,3.4916874621877714,1958.9059003733432,1858.8915397838778,"[1902.5879961110318, 1874.4290439798758, 1846.27009184872]",1846.27009184872,2026-02-28T06:00:00+00:00,take_profit,167.14784217799394,0.024793626459721923,98.32226010470238,0.01,CHOP,0.7874403149390813,"{""regime"": ""CHOP"", ""confluence_score"": 0.7874403149390813, ""opened_bar_index"": 340}",2026-09-11T13:41:27.007105+00:00
7,e3fcad00,ETH-USD,1h,BUY,1935.73095703125,2026-02-28T18:00:00+00:00,2.923328633576683,1901.5255182796923,2008.0966468091365,"[1969.9363957828077, 2004.1418345343654, 2038.3472732859234]",2038.3472732859234,2026-03-01T02:00:00+00:00,take_profit,169.9893554950198,0.030039942103746307,99.99373852648232,0.01,CHOP,0.7101912278586923,"{""regime"": ""CHOP"", ""confluence_score"": 0.7101912278586923, ""opened_bar_index"": 359}",2026-09-11T13:41:27.172176+00:00
8,61b725c5,ETH-USD,1h,SELL,1931.130859375,2026-03-01T21:00:00+00:00,2.7271407379536727,1968.4203291358233,1968.4203291358233,"[1893.8413896141767, 1856.5519198533536, 1819.2624500925303]",1968.4203291358233,2026-03-02T01:00:00+00:00,stop_loss,-101.69363208143281,-0.019309654537285902,101.69363208143251,0.01,CHOP,0.6774368943986707,"{""regime"": ""CHOP"", ""confluence_score"": 0.6774368943986707, ""opened_bar_index"": 386}",2026-09-11T13:41:27.428266+00:00
9,eb3d5987,ETH-USD,1h,SELL,1927.2745361328125,2026-03-02T13:00:00+00:00,3.1566642156342537,1959.16791752637,1959.16791752637,"[1895.381154739255, 1863.4877733456976, 1831.59439195214]",1959.16791752637,2026-03-02T14:00:00+00:00,stop_loss,-100.67669576061843,-0.016548437078172298,100.67669576061819,0.01,CHOP,0.7144571924146821,"{""regime"": ""CHOP"", ""confluence_score"": 0.7144571924146821, ""opened_bar_index"": 402}",2026-09-11T13:41:27.596358+00:00
10,c219fe93,ETH-USD,1h,SELL,1993.5186767578125,2026-03-29T17:00:00+00:00,3.749774079058728,2007.6124580256653,1984.7768102859582,"[1979.4248954899597, 1965.3311142221069, 1951.237332954254]",1951.237332954254,2026-03-29T22:00:00+00:00,take_profit,89.84244264600052,0.012018662495962439,99.66992880301201,0.01,CHOP,0.6623542450751057,"{""regime"": ""CHOP"", ""confluence_score"": 0.6623542450751057, ""opened_bar_index"": 1054}",2026-09-11T13:41:36.082363+00:00
