symbol,timeframe,bars,trades,wins,losses,breakeven,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,sortino,max_dd_pct,max_dd_dollar,expectancy,avg_win,avg_loss,starting_equity,final_equity,duration_sec,error
BTC-USD,1h,10000,34,16,18,0,0.47058823529411764,0.6667137193013177,-308.09987147269203,-0.030809987147269204,-0.16909265433174617,-0.009140455119885451,0.03676161180979541,369.8875320922871,-9.061760925667375,38.52063959758495,51.35722805744722,10000.0,9691.900128527308,271.134908,
ETH-USD,1h,10000,18,10,8,0,0.5555555555555556,0.9856233277792407,-10.767319957680229,-0.001076731995768023,-0.001850285834931112,-7.27638070774527e-05,0.042499526280792926,443.3811454540464,-0.5981844420931779,73.81765101819343,93.61797876745145,10000.0,9989.23268004232,169.00118,
ADA-USD,1h,10000,6,6,0,0,1.0,0.0,609.3985348531332,0.060939853485313326,0.34940678041916906,0.0,0.0,0.0,101.56642247552213,101.56642247552213,0.0,10000.0,10609.398534853133,135.611992,
AVAX-USD,1h,10000,9,2,7,0,0.2222222222222222,0.358166951104731,-394.84222184945247,-0.039484222184945246,-0.20828856499021586,-0.006803905044925351,0.04453285301881452,447.68161930880524,-43.87135798327299,110.16839582400024,87.88271621392248,10000.0,9605.157778150548,163.383713,
DOT-USD,1h,10000,9,7,2,0,0.7777777777777778,4.171466291964658,652.6966592409117,0.06526966592409117,0.276760618945613,0.01014402616540651,0.01000000000000008,103.87081947027764,72.52185102676825,122.64278062348603,102.90140256174406,10000.0,10652.696659240912,136.529255,
ATOM-USD,1h,10000,12,10,2,0,0.8333333333333334,4.1544045418034665,637.7742222381803,0.06377742222381803,0.29785419166898,0.00990279980298039,0.01990000000000001,202.18529798132477,53.14785185318152,83.9959520219503,101.09264899066241,10000.0,10637.77422223818,136.281258,
UNI-USD,1h,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.90802,Fetch error UNI-USD: Empty response for UNI-USD 1h
AAPL,1d,1005,18,8,10,0,0.4444444444444444,0.9150171941689904,-128.22905883780368,-0.012822905883780367,-0.07203174315419007,-0.010893996909858593,0.044328375000000184,457.897412402448,-7.1238366021002975,172.58166590488926,150.88823860769193,10000.0,9871.770941162196,122.494185,
