symbol,timeframe,bars,trades,wins,losses,breakeven,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,sortino,max_dd_pct,max_dd_dollar,expectancy,avg_win,avg_loss,starting_equity,final_equity,duration_sec,gate_mode,atr_multiplier,rr_ratio,error
AAPL,1d,1005,30,11,19,0,0.36666666666666664,0.7146977013406846,-411.2107768163478,-0.04112107768163478,-0.5868913286358013,-0.04360155966972797,0.05866344937500004,597.5667796903253,-27.153935482284624,185.51475874159598,150.27791634874183,10000.0,9588.789223183652,5.092333,aggressive,2.0,3.0,
ETH-USD,1h,10000,27,18,9,0,0.6666666666666666,1.870483551283265,639.9971239467213,0.06399971239467213,0.3162392256315462,0.0,0.0,0.0,27.387130769054465,88.27365700048185,94.38592169380028,10000.0,10639.997123946721,38.548084,aggressive,1.5,3.0,
ATOM-USD,1h,10000,29,23,6,0,0.7931034482758621,3.3956426695882143,601.5275052807465,0.06015275052807465,0.2613250549227061,0.009375122028539951,0.019900000000000147,208.73914836703625,50.647995332983214,90.51746126026944,102.18495738828074,10000.0,10601.527505280746,38.63647,aggressive,1.5,3.0,
ADA-USD,1h,10000,23,19,4,0,0.8260869565217391,5.290167495185125,630.2873472539941,0.06302873472539941,0.22759620983827858,0.009851570287609593,0.01000000000000009,103.92883890562916,77.95380420901014,116.36080675850438,104.4794579010875,10000.0,10630.287347253994,40.896845,aggressive,1.5,3.0,
AVAX-USD,1h,10000,35,17,18,0,0.4857142857142857,1.1435443854102036,622.3288223038162,0.06223288223038162,0.18081676890496617,0.009817838114626254,0.02463496983275079,251.68717558477329,7.07919680265487,116.11008009881816,95.89441519927713,10000.0,10622.328822303816,45.454989,aggressive,1.5,3.0,
DOT-USD,1h,10000,56,34,22,0,0.6071428571428571,1.747925631798675,610.7564640737546,0.061075646407375464,0.14040857396853676,0.009915940838905214,0.039403989999999715,413.62314413435706,30.09825130233574,115.85503371192131,102.43495787611465,10000.0,10610.756464073755,46.312481,aggressive,1.5,3.0,
BTC-USD,1h,10000,54,25,29,0,0.46296296296296297,0.6791827191026764,-105.41806785686822,-0.010541806785686822,-0.13240684923700655,-0.005135691728786824,0.01922942231657131,193.99755554301555,-7.577149578956956,34.64882292415654,43.97885001267549,10000.0,9894.581932143132,49.060044,aggressive,1.5,3.0,
