symbol,filter_mode,timeframe,trades,wins,losses,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,max_dd_pct,blocked_1d,error
BTC-USD,drawdown_10,2h,159,55,104,0.34591194968553457,1.2177721508323476,2714.166091420686,0.2714166091420686,0.20244733022072744,0.12842375046178958,0,
BTC-USD,drawdown_15,2h,160,55,105,0.34375,1.2040063754450834,2569.454089750603,0.2569454089750603,0.1935267766509235,0.12842375046178958,0,
BTC-USD,baseline,2h,146,52,94,0.3561643835616438,1.3036158643103066,3474.230157963644,0.3474230157963644,0.2519221766104497,0.11250906297825161,0,
BTC-USD,combined,2h,132,47,85,0.3560606060606061,1.3170950223130553,3296.551507606202,0.3296551507606202,0.2514801288439633,0.1329275270565198,0,
BTC-USD,sma200_only,2h,131,46,85,0.3511450381679389,1.286607122516202,2934.1735849665947,0.29341735849665945,0.23066902777542786,0.13239129359849228,0,
ADA-USD,drawdown_15,1h,169,68,101,0.40236686390532544,1.3793552441667183,5084.32592500879,0.508432592500879,0.2480765450028199,0.1111383860195555,0,
ETH-USD,sma200_only,1h,142,48,94,0.3380281690140845,1.0476017826875117,492.7484037734521,0.04927484037734521,0.04245600183628018,0.11439234110719604,0,
ADA-USD,drawdown_10,1h,158,65,93,0.41139240506329117,1.4246203870153875,5198.935633483048,0.5198935633483048,0.2600069478434563,0.09262686766169796,0,
ETH-USD,combined,1h,186,64,122,0.34408602150537637,1.0635510877483125,891.0330989443355,0.08910330989443355,0.06107431434942864,0.12842460389151258,0,
ETH-USD,baseline,1h,186,65,121,0.34946236559139787,1.103480255211271,1460.2532351747577,0.14602532351747577,0.08917290344469392,0.1284246038915124,0,
ETH-USD,drawdown_15,1h,250,90,160,0.36,1.1101131651906477,2059.111929869485,0.2059111929869485,0.1055143093076779,0.11439234110719604,0,
ETH-USD,drawdown_10,1h,243,88,155,0.36213991769547327,1.1327927144033592,2415.642171642503,0.2415642171642503,0.1204328950690338,0.11439234110719604,0,
ADA-USD,baseline,1h,209,83,126,0.39712918660287083,1.2960716463154685,5000.630377064583,0.5000630377064583,0.22629597575156757,0.1340975159231619,0,
ADA-USD,combined,1h,191,77,114,0.4031413612565445,1.3357174074165568,5098.232197643993,0.5098232197643993,0.2383436206531367,0.12235227360396661,0,
ADA-USD,sma200_only,1h,185,75,110,0.40540540540540543,1.3432064663432282,5022.47331757939,0.502247331757939,0.23912008647227298,0.11895164923238591,0,
DOT-USD,baseline,1h,156,64,92,0.41025641025641024,1.403638272666889,5175.77233018802,0.517577233018802,0.25395036690703227,0.1644625333716918,0,
DOT-USD,sma200_only,1h,156,64,92,0.41025641025641024,1.403638272666889,5175.77233018802,0.517577233018802,0.25395036690703227,0.1644625333716918,0,
DOT-USD,drawdown_10,1h,156,64,92,0.41025641025641024,1.403638272666889,5175.77233018802,0.517577233018802,0.25395036690703227,0.1644625333716918,0,
DOT-USD,drawdown_15,1h,156,64,92,0.41025641025641024,1.403638272666889,5175.77233018802,0.517577233018802,0.25395036690703227,0.1644625333716918,0,
DOT-USD,combined,1h,156,64,92,0.41025641025641024,1.403638272666889,5175.77233018802,0.517577233018802,0.25395036690703227,0.1644625333716918,0,
ATOM-USD,baseline,1h,190,73,117,0.38421052631578945,1.136963822252118,1719.052894661052,0.1719052894661052,0.09962013119376663,0.1462566239940684,0,
ATOM-USD,sma200_only,1h,190,73,117,0.38421052631578945,1.136963822252118,1719.052894661052,0.1719052894661052,0.09962013119376663,0.1462566239940684,0,
ATOM-USD,drawdown_10,1h,190,73,117,0.38421052631578945,1.136963822252118,1719.052894661052,0.1719052894661052,0.09962013119376663,0.1462566239940684,0,
ATOM-USD,drawdown_15,1h,190,73,117,0.38421052631578945,1.136963822252118,1719.052894661052,0.1719052894661052,0.09962013119376663,0.1462566239940684,0,
ATOM-USD,combined,1h,190,73,117,0.38421052631578945,1.136963822252118,1719.052894661052,0.1719052894661052,0.09962013119376663,0.1462566239940684,0,
