position_id,bar_index,segment,direction,regime,score,entry_price,exit_price,exit_reason,pnl
2f1f1e54,250,0,BUY,BULL,0.6966903620635156,117017.9140625,118455.0546875,timeout,66.64716051551456
2ab85e3f,693,0,SELL,BEAR,0.5781423555840814,112677.6015625,114164.89307596325,stop_loss,-100.66647160515528
55959c2f,711,0,SELL,BEAR,0.5147070385342525,113885.9375,115029.42407284603,stop_loss,-99.6598068891031
d8ca9de6,815,0,BUY,BULL,0.5304431171182892,117494.296875,116009.6788601561,stop_loss,-98.66320882021215
730e43ed,853,0,BUY,BULL,0.5068504419889653,117452.484375,116468.1157877369,stop_loss,-81.86268205225882
ab3b7633,870,0,BUY,BULL,0.5111710398562856,117329.9609375,119673.76419641502,take_profit,193.4850884125851
26617d44,893,0,BUY,BULL,0.674163730566628,119812.7734375,118567.60155216954,stop_loss,-98.79280079561373
6195c318,913,0,BUY,BULL,0.5391679922408241,118701.859375,123589.13655070082,take_profit,244.51218196914408
cc29cc26,962,0,BUY,BULL,0.6809175047713794,122987.421875,120959.79680420528,stop_loss,-100.24999460734898
a62a9af7,974,0,BUY,BULL,0.6450370499335687,120913.8828125,119027.25462144628,stop_loss,-99.24749466127518
85f53c1a,1061,0,SELL,BEAR,0.5222765581402427,116400.40625,113698.09173541327,take_profit,228.1057038028496
3b48ef8a,1099,0,SELL,BEAR,0.5538511920465194,113787.046875,115458.4041262341,stop_loss,-100.53607675269159
ac30d869,1224,0,SELL,BEAR,0.5804598210025661,112636.9609375,112216.7578125,timeout,25.197455471070715
c028c6ee,1331,0,SELL,BEAR,0.5205029624357596,109912.609375,109632.28125,timeout,17.733872278546038
00ccbd9e,1499,0,BUY,BULL,0.5602329323773239,112966.625,111461.70358603277,stop_loss,-99.96002926266017
9f338ddd,1776,0,BUY,BULL,0.579910542210854,116908.7734375,115689.492967958,stop_loss,-98.96042897003376
308717b7,1906,0,SELL,BEAR,0.7506009050207614,112948.8203125,109813.03299697087,take_profit,244.9270617008342
72e5d647,2082,0,BUY,BULL,0.6655229881213591,114174.5703125,112905.36890092607,stop_loss,-100.42009529734169
d4eadaf7,2111,0,BUY,BULL,0.5534102770838546,114451.2109375,117920.58626504753,take_profit,248.53973586092116
868277f1,2132,0,BUY,BULL,0.6664770565439757,117665.84375,121427.8203764035,take_profit,254.7532292574448
c7bfbfa6,2179,0,BUY,BULL,0.6283900849479397,122234.078125,126068.75298295646,take_profit,261.1220599888804
3113ba7c,2264,1,BUY,BULL,0.5525823349053465,124580.90625,123049.48413428466,stop_loss,-107.06004459544148
fa508070,2353,1,SELL,BEAR,0.549838027139548,113937.875,112780.7890625,timeout,26.31475394146397
2a5aa85a,2453,1,SELL,BEAR,0.5324628378667396,112780.7890625,107091.00618459478,take_profit,265.6314792222529
90f8084f,2506,1,SELL,BEAR,0.6190068848664688,106829.078125,109181.14146637412,stop_loss,-108.90890648112357
91b5ee44,2572,1,SELL,BEAR,0.5060193358339902,108022.6171875,109577.37604131406,stop_loss,-107.81981741631226
102c6735,2604,1,SELL,BEAR,0.5672911534942083,107783.546875,109580.32608976452,stop_loss,-106.7416192421497
3b00cd40,2705,1,BUY,BULL,0.5144439792221668,111678.609375,114422.8922751125,take_profit,259.67363851980724
e9f55512,2738,1,BUY,BULL,0.6015057401396728,114670.8125,113416.49436927002,stop_loss,-108.27093943492609
2d784697,2824,1,SELL,BEAR,0.6009286916983368,108398.953125,110898.34252443758,stop_loss,-107.18823004057639
28c1b2f0,2946,1,SELL,BEAR,0.5991206638622723,104435.875,102201.7421875,timeout,94.66842988758887
4ac76d20,3250,1,SELL,BEAR,0.5131764215163173,82639.7578125,87294.25977172135,stop_loss,-107.0630320390468
3a60635b,3386,1,BUY,BULL,0.5494977337571028,91397.8046875,89547.2181987523,stop_loss,-105.99240171865615
a5128d77,3440,1,SELL,BEAR,0.5094592317591773,84637.1953125,87105.0148014444,stop_loss,-104.93247770146994
224ac4be,3464,1,BUY,BULL,0.5185452242669616,90948.328125,88668.5077878841,stop_loss,-103.88315292445536
c05356b2,3634,1,BUY,BULL,0.5149821157501399,93842.578125,91640.01967784551,stop_loss,-102.84432139521023
361badfa,3753,1,SELL,BEAR,0.5934513913199722,88704.8515625,89639.85594476716,stop_loss,-101.8158781812578
c7199bf1,3775,1,SELL,BEAR,0.6178860503471634,88136.921875,89554.21013190241,stop_loss,-100.79771939944558
2fd19533,4209,1,BUY,BULL,0.6692786943641678,90346.578125,93962.1955057153,take_profit,249.4743555136284
2531023b,4281,2,BUY,BULL,0.672829804785547,93715.7734375,92420.6685762166,stop_loss,-102.28448576058715
a203da4d,4473,2,BUY,BULL,0.5459692598176225,93441.21875,97296.67102618223,take_profit,253.15410225745455
582089ef,4497,2,BUY,BULL,0.6177674748744504,97212.4921875,95452.24026845179,stop_loss,-103.79318192555652
35348f7a,4520,2,BUY,BULL,0.5481698064596274,96434.890625,94685.96965071413,stop_loss,-102.7552501063009
5f4dacf3,4544,2,BUY,BULL,0.5276699459416562,94605.625,93300.0600697488,stop_loss,-101.72769760523758
43c0d270,4629,2,SELL,BEAR,0.5740472860141783,91954.4921875,89430.6436639762,take_profit,251.77605157296364
ea67d2ba,4642,2,SELL,BEAR,0.6680704002093238,89671.7265625,89244.2578125,timeout,29.284414985226665
524ee734,4746,2,SELL,BEAR,0.5844530178483452,89032.7421875,87591.52699115578,take_profit,167.57439019653083
9a62d9a8,4771,2,SELL,BEAR,0.6608835792739399,87437.140625,88800.81166051712,stop_loss,-105.19676919673239
98052bf7,4803,2,SELL,BEAR,0.5037117470717088,87654.546875,88811.61192685644,stop_loss,-104.1448015047647
549136ef,4855,2,SELL,BEAR,0.5430835610142468,86876.078125,83653.29116797658,take_profit,257.7583837242941
b0b04765,4859,2,SELL,BEAR,0.6182627168106481,83441.046875,78306.33121752617,take_profit,264.20234331740164
a02b0180,4907,2,SELL,BEAR,0.621,77837.171875,72321.9765625,timeout,219.7755735646484
6c044173,5007,2,SELL,BEAR,0.621,72321.9765625,64938.081322169615,take_profit,276.3017912394526
4bd070e9,5029,2,SELL,BEAR,0.621,63543.17578125,67439.11654972294,stop_loss,-113.28373440817548
b6ef40f4,5046,2,SELL,BEAR,0.621,67311.828125,71074.5937696726,stop_loss,-112.15089706409375
b764cb10,5050,2,SELL,BEAR,0.621,70801.6171875,68594.859375,timeout,60.13445623954106
