symbol,atr_mult,rr_ratio,gate_mode,commission_pct,trades,wins,losses,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,max_dd_pct,error
ETH-USD,2.5,2.0,aggressive,0.001,78,26,52,0.3333333333333333,0.8150050161723313,-1041.3718458442654,-0.10413718458442654,-0.10232857432344084,0.16056513947736425,
ETH-USD,2.5,3.5,aggressive,0.001,71,17,54,0.23943661971830985,0.8215483077255477,-1011.4403960147429,-0.10114403960147429,-0.0799515650222826,0.1679850952906531,
ETH-USD,2.5,3.0,aggressive,0.001,73,19,54,0.2602739726027397,0.8230195060870431,-1003.2564336258874,-0.10032564336258874,-0.08503603260910975,0.181658919397957,
ETH-USD,2.5,3.5,balanced,0.001,20,6,14,0.3,1.0225663805994067,36.32233986289975,0.0036322339862899754,0.010289419060863633,0.102143287771576,
ETH-USD,2.5,3.0,balanced,0.001,20,6,14,0.3,0.9866255475402294,-21.479074618671802,-0.00214790746186718,0.0012081613483812697,0.10214328777157576,
ETH-USD,2.5,2.5,aggressive,0.001,186,65,121,0.34946236559139787,1.103480255211271,1460.2532351747577,0.14602532351747577,0.08917812557553562,0.1284246038915124,
ETH-USD,3.0,2.0,aggressive,0.001,198,79,119,0.398989898989899,1.0553932706552984,706.5847211823602,0.07065847211823602,0.05449345331226453,0.1237319311364896,
ETH-USD,3.0,2.0,balanced,0.001,66,28,38,0.42424242424242425,1.303737348839505,1158.4412639033599,0.11584412639033599,0.1239391183664151,0.11331504320384662,
ETH-USD,2.5,2.5,balanced,0.001,68,27,41,0.39705882352941174,1.4339472169457848,1910.8918595168616,0.19108918595168617,0.16453351910833344,0.10659750329289727,
ETH-USD,2.5,2.0,balanced,0.001,70,31,39,0.44285714285714284,1.449143365839435,1888.1298253749064,0.18881298253749065,0.1795060164310437,0.08511963927200292,
ETH-USD,2.5,3.5,conservative,0.001,12,7,5,0.5833333333333334,3.3013066735324674,1281.5752731247303,0.12815752731247304,0.19473532202423824,0.021331255674436358,
ETH-USD,3.0,2.0,conservative,0.001,12,7,5,0.5833333333333334,2.2502545137799745,673.6954132080355,0.06736954132080354,0.15232393825069307,0.02109608190161761,
ETH-USD,2.5,3.0,conservative,0.001,12,7,5,0.5833333333333334,3.365941070927981,1311.0115593467526,0.13110115593467525,0.2024542488311663,0.021331255674436507,
