symbol,atr_mult,rr_ratio,filter_chop,long_only,trades,wins,losses,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,max_dd_pct,buy_trades,buy_pnl,sell_trades,sell_pnl,error
ADA-USD,2.5,3.5,True,False,21,3,18,0.14285714285714285,0.5860048151636879,-747.5967574680199,-0.07475967574680198,-0.16091324126075518,0.13627825689915937,15,-142.46091830582364,6,-605.1358391621968,
ADA-USD,2.0,3.0,True,False,28,6,22,0.21428571428571427,0.8115242503268497,-428.11153593005474,-0.042811153593005476,-0.07283800387231178,0.11466435047760161,22,189.72769261926436,6,-617.8392285493248,
ADA-USD,2.0,2.5,True,False,27,6,21,0.2222222222222222,0.7144276828093148,-609.639206802518,-0.0609639206802518,-0.12453371682514634,0.12323897937650183,21,0.48898137965684896,6,-610.128188182173,
ADA-USD,2.0,3.5,True,False,25,4,21,0.16,0.6672125021840034,-708.1864696905668,-0.07081864696905668,-0.13282031032001088,0.13627825689915923,19,-100.47307560121504,6,-607.7133940893536,
ADA-USD,2.5,3.0,True,False,20,3,17,0.15,0.5344381108655375,-788.9321312316188,-0.07889321312316187,-0.19146769431708527,0.13176851081455546,14,-184.5204395991144,6,-604.4116916325033,
ADA-USD,2.0,2.0,True,False,175,58,117,0.3314285714285714,0.974335992261488,-305.9659206881315,-0.030596592068813152,-0.011754058907248432,0.13280634798240482,82,-165.67699192663468,93,-140.28892876149416,
ADA-USD,3.0,3.5,False,False,18,3,15,0.16666666666666666,0.6982113444678453,-435.58361520195103,-0.043558361520195106,-0.09763800356927234,0.10219990560284258,13,75.68627786343953,5,-511.26989306539474,
ADA-USD,3.0,2.0,False,False,179,68,111,0.37988826815642457,1.1452575001842875,1647.366446820135,0.1647366446820135,0.14428595302007916,0.17608512915253038,83,490.578347291129,96,1156.788099529018,
ADA-USD,3.0,2.5,False,False,158,56,102,0.35443037974683544,1.2237997905522722,2353.4221672340263,0.23534221672340264,0.18570306152045687,0.17648493752220368,70,481.3156959999201,88,1872.1064712341104,
ADA-USD,3.0,3.0,False,False,109,27,82,0.24770642201834864,0.8600856663666282,-1085.5020174104538,-0.10855020174104539,-0.09767498815682586,0.15972306696299876,47,-937.858328448722,62,-147.64368896173997,
ADA-USD,3.0,2.0,True,False,168,65,103,0.3869047619047619,1.1825496246080807,1896.320965865727,0.1896320965865727,0.16623419013118199,0.12487281715746057,76,638.0045568453586,92,1258.3164090203684,
