atr_mult,rr_ratio,filter_chop,trades,wins,losses,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,max_dd_pct,buy_trades,buy_pnl,buy_wr,sell_trades,sell_pnl,sell_wr,error
2.0,1.5,False,208,101,107,0.4855769230769231,1.3861406852686273,5042.556845950718,0.5042556845950718,0.40668011936255133,0.08205219386606329,112,3086.854366547588,0.5,96,1955.702479403147,0.46875,
1.5,3.5,False,207,60,147,0.2898550724637681,1.2952201954931735,5095.957390419742,0.5095957390419742,0.2827684914533431,0.11298385389381893,107,3044.050044163787,0.29906542056074764,100,2051.9073462559663,0.28,
1.5,3.0,False,232,72,160,0.3103448275862069,1.2901391172968217,5217.154104685056,0.5217154104685057,0.29371009835657674,0.10065493845696853,124,2522.387327393805,0.31451612903225806,108,2694.766777291265,0.3055555555555556,
2.0,2.0,False,224,87,137,0.38839285714285715,1.211461839833732,3257.810395605511,0.3257810395605511,0.24573648610514726,0.08142853074446539,115,1577.739738346477,0.391304347826087,109,1680.0706572590225,0.3853211009174312,
1.5,1.5,True,264,103,161,0.39015151515151514,0.9341363771882296,-1010.1791079160521,-0.10101791079160521,-0.0792010373531046,0.12874337514960485,150,577.0520453568153,0.4266666666666667,114,-1587.2311532728756,0.34210526315789475,
1.5,3.5,True,189,56,133,0.2962962962962963,1.3485041024563165,5345.132448317387,0.5345132448317387,0.3000161496051727,0.13545551106573236,94,3074.06557875462,0.30851063829787234,95,2271.0668695627683,0.28421052631578947,
2.0,2.5,True,179,66,113,0.3687150837988827,1.3308527352672457,4450.743677527073,0.44507436775270726,0.30969291355467116,0.09364592962378257,100,2583.136588349281,0.37,79,1867.6070891777952,0.3670886075949367,
2.0,2.0,True,202,79,123,0.3910891089108911,1.2254367380943003,3092.596422554956,0.3092596422554956,0.24613086796987602,0.1170977804156722,104,2092.314389675827,0.41346153846153844,98,1000.2820328791227,0.3673469387755102,
1.5,3.0,True,218,69,149,0.3165137614678899,1.325568059057429,5327.124404657239,0.532712440465724,0.30429029862718077,0.12028692291040084,112,3575.6837033169177,0.3392857142857143,106,1751.4407013403377,0.29245283018867924,
2.0,1.5,True,255,118,137,0.4627450980392157,1.254087189456227,4250.863754052007,0.42508637540520067,0.3253132329697412,0.11031436817363514,134,3130.6329324790136,0.48507462686567165,121,1120.230821572992,0.4380165289256198,
1.5,2.5,True,278,87,191,0.3129496402877698,1.1265105082146276,2500.4857791061386,0.25004857791061386,0.16890913433511645,0.161235262127417,139,2089.794439327882,0.33093525179856115,139,410.6913397782577,0.2949640287769784,
1.5,2.5,False,302,96,206,0.31788079470198677,1.1431400311077702,3200.829117130468,0.3200829117130468,0.1983478789407613,0.10833360546820392,152,2151.504074115687,0.32894736842105265,150,1049.3250430147875,0.30666666666666664,
1.5,2.0,True,325,119,206,0.36615384615384616,1.128523663220428,2830.3333712408185,0.28303333712408185,0.1913646998823082,0.17141879808678395,174,2831.5758730262455,0.39080459770114945,151,-1.2425017854301856,0.33774834437086093,
1.5,2.0,False,352,130,222,0.3693181818181818,1.1398703671927568,3541.104089237153,0.3541104089237153,0.22117888707334712,0.1335135010196107,188,3352.5386627716407,0.39361702127659576,164,188.56542646551225,0.34146341463414637,
1.5,1.5,False,422,173,249,0.4099526066350711,1.0213162875469919,528.1416724582086,0.052814167245820866,0.057408292758897854,0.12280691777378182,222,859.5743809191526,0.42342342342342343,200,-331.43270846095226,0.395,
2.0,3.5,False,127,42,85,0.33070866141732286,1.50369231442364,5074.172710572195,0.5074172710572195,0.3353295056318426,0.06776170364342965,67,2905.676971325629,0.34328358208955223,60,2168.4957392465694,0.31666666666666665,
2.0,2.5,False,201,71,130,0.35323383084577115,1.2615251292566765,3964.4874002892157,0.39644874002892155,0.2712916567783111,0.08528374110203185,111,2090.7784904525356,0.35135135135135137,90,1873.7089098366766,0.35555555555555557,
2.0,3.0,False,178,58,120,0.3258426966292135,1.3122580064676714,4359.076612306886,0.43590766123068864,0.28358060009237146,0.07298501446815588,99,2683.603326843987,0.3333333333333333,79,1675.4732854628967,0.31645569620253167,
2.0,3.0,True,159,55,104,0.34591194968553457,1.42888134144671,5235.5648614754555,0.5235564861475456,0.33808134843096205,0.09089439488884603,88,3635.546080155521,0.36363636363636365,71,1600.0187813199304,0.323943661971831,
2.5,3.0,False,146,55,91,0.3767123287671233,1.3664407291213565,4008.5029555455258,0.4008502955545526,0.29580120010593347,0.06869383683323958,78,2661.7158013268954,0.3974358974358974,68,1346.787154218631,0.35294117647058826,
2.5,2.5,False,158,61,97,0.3860759493670886,1.3281875637207026,3745.398394639171,0.3745398394639171,0.29082787026392626,0.06385327327063893,87,2118.8676083365503,0.39080459770114945,71,1626.5307863026185,0.38028169014084506,
2.0,3.5,True,128,44,84,0.34375,1.5114398093920172,5246.638573460512,0.5246638573460511,0.34506559572319456,0.078683989049386,67,3688.1651240656815,0.373134328358209,61,1558.473449394833,0.3114754098360656,
2.5,2.0,False,173,71,102,0.41040462427745666,1.2637725894427052,3149.7707788171138,0.31497707788171136,0.26821032927605154,0.06206867729860069,95,1662.577057929699,0.4105263157894737,78,1487.1937208874233,0.41025641025641024,
2.5,1.5,False,209,95,114,0.45454545454545453,1.1616867910223017,2041.1788023892932,0.20411788023892932,0.19710167125691677,0.09326747881029346,107,1299.9082839249397,0.4672897196261682,102,741.2705184643479,0.4411764705882353,
2.5,3.5,False,134,50,84,0.373134328358209,1.3728527285952143,3722.268096857624,0.37222680968576244,0.2797618813516259,0.07278970999680731,72,2488.9085987090034,0.3888888888888889,62,1233.3594981486126,0.3548387096774194,
2.5,2.0,True,160,66,94,0.4125,1.2771662011464713,2962.0439139398695,0.29620439139398697,0.2634315268768547,0.07917843104725487,86,1842.9558933196088,0.4186046511627907,74,1119.0880206202662,0.40540540540540543,
2.5,1.5,True,191,87,104,0.45549738219895286,1.1701054311527388,1929.3399858413577,0.19293399858413576,0.19496843040330844,0.11560079214008949,96,1494.915629139013,0.4791666666666667,95,434.42435670234727,0.43157894736842106,
2.5,2.5,True,145,57,88,0.3931034482758621,1.3795965208550929,3887.7450328822833,0.3887745032882283,0.3086218062738016,0.08439768790267081,78,2699.464259326274,0.41025641025641024,67,1188.2807735560077,0.373134328358209,
2.5,3.0,True,132,52,80,0.3939393939393939,1.4496225948928352,4364.897655361028,0.4364897655361028,0.32775508239736756,0.07834756723339131,67,3191.865718710321,0.43283582089552236,65,1173.0319366507058,0.35384615384615387,
2.5,3.5,True,120,45,75,0.375,1.3681563819162712,3192.7779114577115,0.31927779114577115,0.2604841404647272,0.071844772746468,59,2608.910051314745,0.423728813559322,61,583.8678601429741,0.32786885245901637,
3.0,1.5,True,160,77,83,0.48125,1.2715676980028678,2508.6632211461274,0.25086632211461274,0.26463264389387164,0.06341413515566129,83,1788.709065003754,0.5060240963855421,77,719.9541561423782,0.45454545454545453,
3.0,1.5,False,170,81,89,0.4764705882352941,1.2500765998812753,2503.7412553125178,0.25037412553125177,0.25698883412785845,0.06341413515566112,88,1407.5999169504953,0.48863636363636365,82,1096.1413383620109,0.4634146341463415,
3.0,2.0,False,144,62,82,0.4305555555555556,1.2628572744689612,2339.170032210697,0.23391700322106973,0.23363607431676842,0.06568904100407624,81,1337.4145953940274,0.43209876543209874,63,1001.7554368166607,0.42857142857142855,
3.0,2.5,False,134,58,76,0.43283582089552236,1.4423908190999144,3830.391671505966,0.3830391671505966,0.32577150072671157,0.06427862787571613,72,2449.325554303797,0.4444444444444444,62,1381.066117202167,0.41935483870967744,
3.0,3.0,False,120,52,68,0.43333333333333335,1.4923745977562586,3909.8947516391636,0.39098947516391636,0.3292370592981985,0.05971413337754901,64,2637.4590837030414,0.453125,56,1272.4356679361224,0.4107142857142857,
3.0,2.0,True,137,59,78,0.4306569343065693,1.2729413229829154,2307.88317121581,0.230788317121581,0.23501725656135736,0.06568904100407598,75,1586.694007708948,0.44,62,721.189163506866,0.41935483870967744,
3.0,3.5,False,111,47,64,0.42342342342342343,1.4799907531460432,3482.2975071007622,0.3482297507100762,0.2967666810875087,0.05851985059900009,58,2094.528471693644,0.43103448275862066,53,1387.7690354071226,0.41509433962264153,
3.5,2.0,False,128,57,71,0.4453125,1.2814042851424228,2139.4996514943377,0.21394996514943376,0.23127599179546532,0.056930723053465006,69,1451.475125152438,0.463768115942029,59,688.0245263419054,0.423728813559322,
3.0,2.5,True,120,51,69,0.425,1.3639753168687452,2889.287101439393,0.28892871014393934,0.27404120316671,0.05851985059899989,62,2398.707990343529,0.46774193548387094,58,490.5791110958657,0.3793103448275862,
3.0,3.0,True,110,46,64,0.41818181818181815,1.409155574395131,2942.71630664023,0.294271630664023,0.27427085598117223,0.05851985059900001,55,2033.7009677302635,0.45454545454545453,55,909.0153389099651,0.38181818181818183,
