position_id,bar_index,bar_time,direction,regime,score,entry_price,stop_loss,take_profit,exit_price,exit_reason,pnl,symbol
7db1c21b,12317,2026-02-15 17:00:00+00:00,SELL,BEAR,0.7656772582711363,1971.20166015625,2018.8192212976726,1852.1577573026934,2018.8192212976726,stop_loss,-108.37930541970358,ETH-USD
b0a217c1,12337,2026-02-16 13:00:00+00:00,SELL,BEAR,0.7256907826234273,1968.3394775390625,2019.6326678487626,1840.1065017648123,2019.6326678487626,stop_loss,-106.60680048552054,ETH-USD
baaea415,12519,2026-02-24 03:00:00+00:00,SELL,BEAR,0.6775030364209137,1830.688720703125,1875.752333192861,1718.0296894787848,1875.752333192861,stop_loss,-105.89822368299446,ETH-USD
09f4e58f,12545,2026-02-25 05:00:00+00:00,SELL,BEAR,0.6749136853333283,1888.136474609375,1934.1988615829655,1772.9805071753985,1934.1988615829655,stop_loss,-104.82305176663796,ETH-USD
c29f2bde,12618,2026-02-28 06:00:00+00:00,SELL,BEAR,0.81,1838.447509765625,1889.5575848112571,1710.6723221515447,1889.5575848112571,stop_loss,-102.72648307370147,ETH-USD
46f6c1da,12625,2026-02-28 13:00:00+00:00,SELL,BEAR,0.7703674635255243,1901.19677734375,1954.6375622806593,1767.5948150014772,1954.6375622806593,stop_loss,-101.54954113474022,ETH-USD
134d9593,12808,2026-03-08 04:00:00+00:00,SELL,BEAR,0.7655717816283354,1937.5570068359375,1968.5222465577835,1860.1439075313226,1968.5222465577835,stop_loss,-105.51987984041779,ETH-USD
9825285f,12815,2026-03-08 11:00:00+00:00,SELL,BEAR,0.7552291321700222,1952.3331298828125,1985.082750904285,1870.4590773291316,1985.082750904285,stop_loss,-103.78347054044018,ETH-USD
8a681a6e,13084,2026-03-19 16:00:00+00:00,SELL,BEAR,0.7519549589021215,2115.87353515625,2171.7041594617403,1976.2969743925244,2171.7041594617403,stop_loss,-98.64220866630353,ETH-USD
9502b96a,13140,2026-03-22 00:00:00+00:00,SELL,BEAR,0.6503218774174275,2086.3818359375,2123.5344525327387,1993.500294449403,2123.5344525327387,stop_loss,-100.88931697043421,ETH-USD
28bed562,12268,2026-02-13 16:00:00+00:00,BUY,BULL,0.5881329565484485,0.27372482419013977,0.26579112064204996,0.29355908306036427,0.29355908306036427,take_profit,242.84969618776515,ADA-USD
1d1930dc,12295,2026-02-14 19:00:00+00:00,BUY,BULL,0.864,0.2983188033103943,0.2904251588482396,0.31805291446578093,0.2904251588482396,stop_loss,-110.06808086110364,ADA-USD
8ef13dfb,12311,2026-02-15 11:00:00+00:00,BUY,BULL,0.8467828504115782,0.29024600982666016,0.2817369135592901,0.3115187504950853,0.2817369135592901,stop_loss,-108.13908948741741,ADA-USD
0ab8e519,12317,2026-02-15 17:00:00+00:00,BUY,BULL,0.7887718880141635,0.2802674174308777,0.27118435614933073,0.3029750706347451,0.27118435614933073,stop_loss,-106.33259679134508,ADA-USD
8dda3212,12412,2026-02-19 16:00:00+00:00,SELL,BEAR,0.6141122577624362,0.2692088484764099,0.2754247901119092,0.2536689943876617,0.2754247901119092,stop_loss,-107.8734080836856,ADA-USD
82e94933,12443,2026-02-20 23:00:00+00:00,BUY,BULL,0.5912199885056824,0.28490686416625977,0.27654794978021013,0.30580415013138385,0.27654794978021013,stop_loss,-104.69387738457759,ADA-USD
7c0ba317,12476,2026-02-22 08:00:00+00:00,SELL,BEAR,0.6054841690691797,0.2753582000732422,0.2795490734936435,0.2648810165222389,0.2648810165222389,take_profit,230.13203859567594,ADA-USD
ed81ddd0,12493,2026-02-23 01:00:00+00:00,SELL,BEAR,0.9071969015621958,0.25959765911102295,0.2655440975769577,0.24473156294618612,0.2655440975769577,stop_loss,-108.13331451419617,ADA-USD
ce03a3de,12498,2026-02-23 06:00:00+00:00,SELL,BEAR,0.8270442479513179,0.2660432755947113,0.2722651063060828,0.25048869881628255,0.2722651063060828,stop_loss,-106.78030582971346,ADA-USD
