position_id,symbol,direction,regime,score,entry_price,exit_price,exit_reason,pnl,indicators_dir,indicators_conf,harmonic_dir,harmonic_conf,harmonic_pattern,sr_dir,sr_conf,elliott_dir,elliott_conf
ffec932f,ETH-USD,SELL,CHOP,0.729100043593944,4295.69775390625,4348.648871384598,stop_loss,-93.36147923625177,BUY,0.6,SELL,0.55,Gartley,SELL,0.88,SELL,0.72
fa00563e,ETH-USD,BUY,BULL,0.6703703091805834,4452.8427734375,4473.199597813976,stop_loss,100.03407457231705,BUY,0.9,,,,BUY,0.8,BUY,0.9
8e4502b3,ETH-USD,BUY,CHOP,0.7377204149949,4496.90087890625,4501.397779785156,stop_loss,48.39743185805113,BUY,0.6,,,,BUY,0.97,BUY,0.9
4b95837a,ETH-USD,BUY,CHOP,0.741184611612687,4518.38037109375,4464.789827257972,stop_loss,-90.32199907151788,BUY,0.9,,,,BUY,0.89,BUY,0.9
ddd4a06c,ETH-USD,SELL,BEAR,0.7494892712153192,4329.51708984375,4388.358213959964,stop_loss,-100.63438185021182,SELL,0.9,BUY,0.6,Gartley,SELL,1.0,SELL,0.9
54554ac1,ETH-USD,SELL,BEAR,0.6900150651425812,4323.720703125,4370.605966467769,stop_loss,-81.02547181292275,SELL,0.69,BUY,0.59,Gartley,SELL,0.98,SELL,0.9
7a20d795,ETH-USD,SELL,CHOP,0.6882087581048165,4288.54345703125,4139.980708251058,take_profit,145.4869866056404,SELL,0.69,BUY,0.55,Gartley,SELL,0.85,SELL,0.9
5e98f2f3,ETH-USD,BUY,CHOP,0.658342863068198,3859.033203125,3862.8922363281245,stop_loss,36.39735426420294,BUY,0.72,,,,BUY,0.85,BUY,0.66
68f9e031,ETH-USD,BUY,CHOP,0.7490041499465386,3859.780029296875,3863.6398093261714,stop_loss,28.641248372633722,SELL,0.6,BUY,0.59,Gartley,BUY,0.9,BUY,0.68
b3abf051,ETH-USD,BUY,CHOP,0.7444642975339529,3863.435791015625,3867.29922680664,stop_loss,32.33729359147104,SELL,0.6,BUY,0.58,Gartley,BUY,0.9,BUY,0.68
99bf64dc,ETH-USD,BUY,CHOP,0.7550588151142321,3865.8310546875,3831.7953562934354,stop_loss,-66.85481656586718,,,BUY,0.58,Gartley,BUY,0.92,BUY,0.68
dac29e51,ETH-USD,SELL,CHOP,0.7700631085276322,3137.595703125,3170.853211243508,stop_loss,-79.9569824531848,BUY,0.6,SELL,1.0,Gartley,SELL,0.64,SELL,0.9
d7aff753,ETH-USD,SELL,CHOP,0.7729508541621777,3133.573486328125,3041.9613864701346,take_profit,123.97609668745028,BUY,0.9,SELL,1.0,Gartley,SELL,0.65,SELL,0.9
0e78feed,ETH-USD,SELL,CHOP,0.6689315529439566,2967.7783203125,2983.5045438273323,stop_loss,-40.147014256986374,SELL,0.6,,,,SELL,0.84,SELL,0.9
eeb3fee5,ETH-USD,SELL,CHOP,0.6705698247063087,2969.415771484375,2990.3998283054693,stop_loss,-53.32726112044569,SELL,0.6,,,,SELL,0.85,SELL,0.9
97135904,ETH-USD,SELL,CHOP,0.7265284377407004,2958.77587890625,2955.817103027344,stop_loss,43.681834343689594,SELL,0.9,,,,SELL,0.87,SELL,0.87
a6d8c538,ETH-USD,SELL,CHOP,0.72400958177873,2957.37109375,2954.41372265625,stop_loss,43.64237055514585,SELL,0.9,,,,SELL,0.86,SELL,0.87
b5133ec2,ETH-USD,SELL,CHOP,0.7251808892363478,2967.838134765625,2930.3885732957024,stop_loss,123.18118032362939,SELL,0.69,,,,SELL,0.93,SELL,0.87
4ea95cd4,ETH-USD,SELL,CHOP,0.6552841649593961,2936.624267578125,2933.6876433105467,stop_loss,44.41671020644364,SELL,0.69,,,,SELL,0.8,SELL,0.87
607c88eb,ETH-USD,SELL,CHOP,0.7634578400466114,2970.001708984375,2937.177049686561,stop_loss,101.16795464446119,SELL,0.9,,,,SELL,0.98,SELL,0.73
3f55ce23,ETH-USD,SELL,CHOP,0.7002224887123087,2929.767333984375,2943.149991621534,stop_loss,-35.50712886216635,SELL,0.6,,,,SELL,0.9,SELL,0.9
e973edf9,ETH-USD,SELL,CHOP,0.7494095261704935,2948.23876953125,2962.208003339965,stop_loss,-36.70505379774215,SELL,0.6,,,,SELL,1.0,SELL,0.9
4d772ca0,ETH-USD,SELL,CHOP,0.7403791439440385,2926.84326171875,2955.715591334571,stop_loss,-76.14689970145854,SELL,0.9,,,,SELL,0.89,SELL,0.9
b4273854,ETH-USD,SELL,CHOP,0.7336582389821491,2924.34228515625,2955.144630271422,stop_loss,-80.70498672358681,SELL,0.9,,,,SELL,0.87,SELL,0.9
3b279463,ETH-USD,BUY,CHOP,0.7060746706253956,2984.39453125,2987.3789257812496,stop_loss,28.58960221460865,BUY,0.9,,,,BUY,0.82,BUY,0.9
163ece1b,ETH-USD,BUY,CHOP,0.7069751055416196,2984.0458984375,2961.5687960167484,stop_loss,-57.41937660495885,BUY,0.9,,,,BUY,0.82,BUY,0.9
c83f0a27,ETH-USD,BUY,CHOP,0.7346242783929904,2973.380126953125,3045.6008867379423,take_profit,104.3283906912292,BUY,0.9,,,,BUY,0.88,BUY,0.9
40458ba6,ETH-USD,SELL,CHOP,0.8708908937394833,3087.770751953125,3100.592386902942,stop_loss,-31.799608004340797,SELL,0.9,SELL,0.99,Gartley,SELL,0.56,SELL,0.9
23932f60,ETH-USD,SELL,CHOP,0.8247543235158856,3122.4833984375,3119.3609150390625,stop_loss,41.97676238394494,BUY,0.9,SELL,1.0,Gartley,SELL,0.75,SELL,0.9
