symbol,risk_pct,trades,wins,losses,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,sortino,max_dd_pct,error
ADA-USD,0.01,213,85,128,0.39906103286384975,1.3241420076360706,5260.107764826791,0.5260107764826791,0.23281540527681283,0.03997892475486425,0.12054422005476051,
BTC-USD,0.02,104,39,65,0.375,1.4131055266609085,5718.49861516015,0.571849861516015,0.27785220516007886,0.05259736937815302,0.17298471897881612,
BTC-USD,0.0125,120,45,75,0.375,1.4305461966239827,5071.358397337059,0.5071358397337059,0.303640373247574,0.06161393854705071,0.1259509339896748,
BTC-USD,0.015,119,44,75,0.3697478991596639,1.3874857007076797,5383.795038449958,0.5383795038449958,0.284112939755716,0.057247611956205396,0.14711686852806552,
BTC-USD,0.01,143,55,88,0.38461538461538464,1.454693529090226,5121.511066081104,0.5121511066081105,0.3413823387219657,0.07497723284309847,0.1018201580930422,
BTC-USD,0.0075,159,60,99,0.37735849056603776,1.3815982417957828,3588.1476992836488,0.35881476992836486,0.31928446428930163,0.07318377577440338,0.07716608632431853,
BTC-USD,0.005,159,60,99,0.37735849056603776,1.3860818256520784,2308.8482462580887,0.23088482462580887,0.31928446428930135,0.07318377577440333,0.05198225542614611,
ADA-USD,0.005,380,136,244,0.35789473684210527,1.0950361663227985,1367.5000543767146,0.13675000543767146,0.11241435009986547,0.024789019150207203,0.12068974626245511,
ADA-USD,0.0075,380,136,244,0.35789473684210527,1.08782671455152,2018.1551382739926,0.20181551382739926,0.11241435009986592,0.02478901915020732,0.17743443128350023,
ADA-USD,0.02,41,20,21,0.4878048780487805,2.1497448597538757,5133.933732448619,0.5133933732448619,0.24492804540870838,0.020931548198576348,0.18611254779321135,
DOT-USD,0.0125,53,27,26,0.5094339622641509,2.302429288925772,5234.410247277023,0.5234410247277023,0.3176097273019311,0.030735587721471513,0.051936342767589586,
ADA-USD,0.0125,184,73,111,0.3967391304347826,1.2934051225397927,5261.740308088229,0.5261740308088229,0.20545740003383045,0.0327031046800155,0.15024196303723308,
ADA-USD,0.015,170,67,103,0.3941176470588235,1.2438126353232881,5050.9355289004925,0.5050935528900492,0.1787137667708342,0.027100247589764006,0.17958306094256046,
DOT-USD,0.015,43,22,21,0.5116279069767442,2.2892027522008274,5074.676912541136,0.5074676912541135,0.2851040888859545,0.02473824335851422,0.06159404104520369,
DOT-USD,0.02,38,19,19,0.5,2.1869959101099674,5320.518596587213,0.5320518596587214,0.2546371357365201,0.02080202775273855,0.07908753137361216,
ETH-USD,0.02,116,45,71,0.3879310344827586,1.3289058874144848,5554.8793051617995,0.55548793051618,0.17930488957190108,0.022988181314720562,0.19065794503815292,
ETH-USD,0.015,117,46,71,0.39316239316239315,1.4163688601313902,5320.469469692045,0.5320469469692045,0.20995843198981837,0.027671804880752836,0.13369357138900978,
ETH-USD,0.0125,137,54,83,0.39416058394160586,1.4215497906302457,5368.657926101281,0.5368657926101281,0.2286967033492079,0.03254955728251826,0.11246783000389945,
ETH-USD,0.01,171,68,103,0.39766081871345027,1.4074602264874247,5264.40294502572,0.526440294502572,0.24879865620586583,0.03897544670036621,0.09674325686642656,
ETH-USD,0.005,185,70,115,0.3783783783783784,1.2839294531757528,1905.2719795266403,0.19052719795266404,0.19630944920972132,0.03148719768056785,0.05613734246491603,
ETH-USD,0.0075,185,70,115,0.3783783783783784,1.276519440508452,2929.998180655657,0.2929998180655657,0.19630944920972102,0.0314871976805678,0.08315108961705563,
DOT-USD,0.01,297,111,186,0.37373737373737376,1.2076041658994277,5348.928258865924,0.5348928258865925,0.2031374100137053,0.04069958790011391,0.20323731565366537,
DOT-USD,0.005,415,147,268,0.3542168674698795,1.1348280789556016,2237.2823191716325,0.22372823191716326,0.1598317098745794,0.03753249031710182,0.1062290824665783,
DOT-USD,0.0075,415,147,268,0.3542168674698795,1.1267311420487685,3403.511319618059,0.3403511319618059,0.1598317098745782,0.03753249031710149,0.15585391780649333,
ATOM-USD,0.02,11,3,8,0.2727272727272727,0.3442801027461462,-1011.8875672789418,-0.10118875672789418,-0.19429739331202683,-0.004840752021413836,0.12349637096288481,
ATOM-USD,0.015,134,57,77,0.4253731343283582,1.3728074914959816,5202.884153847774,0.5202884153847773,0.19310428140282318,0.028205230826318012,0.1649077420852248,
ATOM-USD,0.005,187,81,106,0.43315508021390375,1.4599760814950014,2694.0974254135217,0.2694097425413522,0.25655440898361676,0.0449089616163666,0.0547212755484089,
ATOM-USD,0.0125,147,63,84,0.42857142857142855,1.3972786222892921,5011.757721025511,0.5011757721025512,0.2087925598070346,0.032114678426190583,0.13727808909168177,
ATOM-USD,0.01,168,74,94,0.44047619047619047,1.4594734059245498,5113.32293109509,0.511332293109509,0.2437537089201335,0.03998422881382709,0.10962065437209001,
ATOM-USD,0.0075,187,81,106,0.43315508021390375,1.4569961723626406,4231.365988046637,0.42313659880466364,0.25655440898361564,0.044908961616366344,0.08199775262022369,
