atr_mult,rr_ratio,filter_chop,long_only,bars,trades,wins,losses,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,max_dd_pct,buy_trades,buy_pnl,sell_trades,sell_pnl,error
2.5,2.5,False,False,8416,158,61,97,0.3860759493670886,1.3281875637207026,3745.398394639171,0.3745398394639171,0.29082787026392626,0.06385327327063893,87,2118.8676083365503,71,1626.5307863026185,
2.0,3.0,False,False,8416,178,58,120,0.3258426966292135,1.3122580064676714,4359.076612306886,0.43590766123068864,0.28358060009237146,0.07298501446815588,99,2683.603326843987,79,1675.4732854628967,
2.0,2.5,False,False,8416,201,71,130,0.35323383084577115,1.2615251292566765,3964.4874002892157,0.39644874002892155,0.2712916567783111,0.08528374110203185,111,2090.7784904525356,90,1873.7089098366766,
2.5,2.5,True,False,8416,145,57,88,0.3931034482758621,1.3795965208550929,3887.7450328822833,0.3887745032882283,0.3086218062738016,0.08439768790267081,78,2699.464259326274,67,1188.2807735560077,
2.5,3.0,True,False,8416,132,52,80,0.3939393939393939,1.4496225948928352,4364.897655361028,0.4364897655361028,0.32775508239736756,0.07834756723339131,67,3191.865718710321,65,1173.0319366507058,
2.0,3.0,True,False,8416,159,55,104,0.34591194968553457,1.42888134144671,5235.5648614754555,0.5235564861475456,0.33808134843096205,0.09089439488884603,88,3635.546080155521,71,1600.0187813199304,
2.0,2.5,True,False,8416,179,66,113,0.3687150837988827,1.3308527352672457,4450.743677527073,0.44507436775270726,0.30969291355467116,0.09364592962378257,100,2583.136588349281,79,1867.6070891777952,
2.5,3.0,True,True,8416,67,29,38,0.43283582089552236,1.7000561781199763,3109.3094489788236,0.31093094489788237,0.32761990796127727,0.041109085101406956,67,3109.3094489788255,0,0.0,
2.5,2.5,True,True,8416,78,32,46,0.41025641025641024,1.5117558331169607,2596.8888384318325,0.2596888838431832,0.28667181024370103,0.04983358244387504,78,2596.888838431828,0,0.0,
2.0,3.0,True,True,8416,90,32,58,0.35555555555555557,1.4830981903638478,3185.5451635927748,0.31855451635927745,0.2875051024032449,0.058519850598999903,90,3185.5451635927798,0,0.0,
2.0,2.5,True,True,8416,100,37,63,0.37,1.3431597313577683,2438.212248850188,0.2438212248850188,0.2426601666053705,0.05851985059900002,100,2438.212248850181,0,0.0,
2.5,3.0,False,True,8416,77,31,46,0.4025974025974026,1.5111567375214117,2720.9928562434616,0.27209928562434615,0.28128562489637876,0.05963428959635849,77,2720.992856243465,0,0.0,
2.5,2.5,False,True,8416,86,34,52,0.3953488372093023,1.3773469118216273,2162.711116203107,0.2162711116203107,0.24033845433791848,0.06445577872108219,86,2162.7111162031133,0,0.0,
2.0,3.0,False,True,8416,99,33,66,0.3333333333333333,1.3503808373342976,2569.484810016411,0.2569484810016411,0.23537927724038393,0.06937361845693517,99,2569.4848100164168,0,0.0,
2.0,2.5,False,True,8416,113,40,73,0.35398230088495575,1.2643221935371054,2144.0234980261466,0.21440234980261466,0.20891850580866364,0.06954843707821938,113,2144.023498026144,0,0.0,
2.5,3.0,False,False,8416,146,55,91,0.3767123287671233,1.3664407291213565,4008.5029555455258,0.4008502955545526,0.29580120010593347,0.06869383683323958,78,2661.7158013268954,68,1346.787154218631,
3.0,2.5,False,False,8416,134,58,76,0.43283582089552236,1.4423908190999144,3830.391671505966,0.3830391671505966,0.32577150072671157,0.06427862787571613,72,2449.325554303797,62,1381.066117202167,
3.0,2.5,True,False,8416,120,51,69,0.425,1.3639753168687452,2889.287101439393,0.28892871014393934,0.27404120316671,0.05851985059899989,62,2398.707990343529,58,490.5791110958657,
3.0,3.0,True,False,8416,110,46,64,0.41818181818181815,1.409155574395131,2942.71630664023,0.294271630664023,0.27427085598117223,0.05851985059900001,55,2033.7009677302635,55,909.0153389099651,
3.0,2.5,True,True,8416,61,29,32,0.47540983606557374,1.6892100853565706,2504.3845869046745,0.25043845869046744,0.3172255835567272,0.03940399000000008,61,2504.3845869046736,0,0.0,
3.0,3.0,False,False,8416,120,52,68,0.43333333333333335,1.4923745977562586,3909.8947516391636,0.39098947516391636,0.3292370592981985,0.05971413337754901,64,2637.4590837030414,56,1272.4356679361224,
3.0,3.0,True,True,8416,54,25,29,0.46296296296296297,1.6602049892805575,2108.841745308837,0.21088417453088368,0.2752766964012501,0.04547384544358163,54,2108.841745308836,0,0.0,
3.0,2.5,False,True,8416,71,32,39,0.4507042253521127,1.5675496938631233,2473.818475571423,0.2473818475571423,0.2956148838935416,0.04463301839533535,71,2473.818475571419,0,0.0,
3.0,3.0,False,True,8416,63,29,34,0.4603174603174603,1.6951836811193917,2690.49457641727,0.269049457641727,0.3139836064447577,0.0486365987041154,63,2690.494576417272,0,0.0,
