symbol,w_trend,w_elliott,w_volatility,w_volume,w_mean_rev,trades,wins,losses,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,max_dd_pct,error
BTC-USD,0.0,0.2,0.6,0.2,0.0,2,2,0,1.0,0.0,312.6662089923684,0.03126662089923684,0.1847435959029593,0.0,
BTC-USD,0.0,0.4,0.4,0.2,0.0,11,7,4,0.6363636363636364,3.5939075350018608,1168.032761693461,0.1168032761693461,0.28299401807256835,0.02105287334126851,
BTC-USD,0.0,0.4,0.0,0.2,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.0,0.4,0.2,0.2,0.2,2,1,1,0.5,2.617427293005607,180.26574752562556,0.018026574752562554,0.10204032064713241,0.01082930469338318,
BTC-USD,0.0,0.4,0.0,0.0,0.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.0,0.4,0.2,0.0,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.0,0.4,0.4,0.0,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.0,0.8,0.0,0.2,0.0,159,59,100,0.3710691823899371,1.3988390159976793,5144.788994721237,0.5144788994721237,0.3289628877091804,0.10024314520686428,
BTC-USD,0.0,0.8,0.0,0.0,0.2,175,64,111,0.3657142857142857,1.361513461024145,5000.63205567642,0.500063205567642,0.31047648677487005,0.10024314520686428,
BTC-USD,0.0,1.0,0.0,0.0,0.0,34,8,26,0.23529411764705882,0.6277260685349351,-1025.0592779125072,-0.10250592779125073,-0.19851979939378847,0.10250592779125073,
BTC-USD,0.0,0.6,0.2,0.2,0.0,58,18,40,0.3103448275862069,0.925078366368647,-349.5937998510726,-0.03495937998510726,-0.03777667488624693,0.14727382097402938,
BTC-USD,0.0,0.8,0.2,0.0,0.0,165,60,105,0.36363636363636365,1.3759210442350687,5058.47639915495,0.505847639915495,0.31874209836873657,0.10024314520686428,
BTC-USD,0.0,0.6,0.0,0.2,0.2,71,30,41,0.4225352112676056,1.6022538645105975,2957.3220894626993,0.29573220894626995,0.2969121807441404,0.09775282455911795,
BTC-USD,0.0,0.4,0.6,0.0,0.0,33,11,22,0.3333333333333333,0.9448226417551752,-133.77681100502377,-0.013377681100502378,-0.016900797093408623,0.07297561842871277,
BTC-USD,0.0,0.6,0.0,0.4,0.0,81,32,49,0.3950617283950617,1.4247392598504336,2496.636811588274,0.24966368115882742,0.24625378816771698,0.08384386939600741,
BTC-USD,0.2,0.0,0.0,0.6,0.2,33,7,26,0.21212121212121213,0.6247869669787802,-1068.8059383732689,-0.10688059383732688,-0.2075911973956239,0.16144854473764944,
BTC-USD,0.0,0.6,0.2,0.0,0.2,29,12,17,0.41379310344827586,1.3660060807747878,726.5269555197447,0.07265269555197447,0.13587197735877204,0.054504468701420665,
BTC-USD,0.0,0.6,0.0,0.0,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.0,0.6,0.4,0.0,0.0,37,12,25,0.32432432432432434,0.8423786435366424,-424.7013278370232,-0.04247013278370232,-0.07058633267460755,0.081228666691275,
BTC-USD,0.2,0.0,0.0,0.8,0.0,57,16,41,0.2807017543859649,0.7685444516403915,-1022.9146270332803,-0.10229146270332803,-0.14753266678452717,0.1705673779808498,
BTC-USD,0.2,0.0,0.0,0.4,0.4,6,2,4,0.3333333333333333,0.8513157601093305,-66.84134922288649,-0.0066841349222886495,-0.027711053432419332,0.034424068812974905,
BTC-USD,0.2,0.0,0.0,0.0,0.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.2,0.0,0.0,0.2,0.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.2,0.0,0.2,0.6,0.0,39,10,29,0.2564102564102564,0.6769074262788491,-1015.2329745990501,-0.101523297459905,-0.18147512197483676,0.13340727392317075,
